name,cik,ticker,founding_date,s1_filing_date,status,primary_disease_area,disease_areas,modality_category,modality_subtype,modality_details,targets,lead_stage,pipeline_summary,extraction_source,acquirer,cagr_pct,city,current_price,exchange,exit_date,exit_details,exit_type,market_cap,price_days_trading,price_first_date,price_first_price,price_last_date,price_last_price,price_max_date,price_max_price,price_max_return_pct,price_min_price,price_total_return_pct,sic_code,state
"ACTUATE THERAPEUTICS, INC.",0001652935,ACTU,2015-01-01,2024-05-24,trading,oncology,"oncology,hematology",small_molecule,small_molecule,small_molecule,"GSK-3,GSK-3β",phase_2,"Develops small molecule GSK-3 inhibitors for treating various cancers, with lead compound elraglusib in Phase 2 for metastatic pancreatic ductal adenocarcinoma.",s1_filing,,-30.9,FORT WORTH,4.99,NGM,,,,115984200,540,2024-08-13,8.61,2026-02-04,4.99,2025-05-30,11.9,38.2,4.71,-42.0,2834,TX
Adamas Pharmaceuticals Inc,0001328143,,2000-11-01,2014-03-05,acquired,,,,,,,unknown,,s1_filing,,,EMERYVILLE,,,2021-11-24,,acquired,,,,,,,,,,,,2834,CA
"Adgero Biopharmaceuticals Holdings, Inc.",0001657598,,2004-01-01,2017-02-14,ipo_withdrawn,oncology,"oncology,dermatology",other,photodynamic_therapy,photodynamic_therapy,,phase_3,Develops photodynamic therapy using REM-001 photosensitizer drug for treatment of cutaneous metastatic breast cancer and other cutaneous cancers.,s1_filing,,,PRINCETON,,,2018-09-27,,ipo_withdrawn,,,,,,,,,,,,2834,NJ
"Adhera Therapeutics, Inc.",0000737207,ATRX,2008-01-01,2011-03-25,trading,cns,"cns,metabolic,gastroenterology,respiratory",small_molecule,small_molecule,small_molecule,,unknown,"Develops small molecule drugs MLR-1019 for Parkinson's disease and MLR-1023 for Type 1 diabetes, NASH, and pulmonary inflammation through exclusive licensing agreements with Melior Pharmaceuticals.",s1_filing,,,WAKE FOREST,0.0001,PNK,,,,722,11746,1993-12-07,32000.0,2026-02-03,0.0,1996-11-25,186000.0,481.2,0.0,-100.0,2834,NC
"ADIAL PHARMACEUTICALS, INC.",0001513525,ADIL,2010-11-23,2017-09-07,trading,cns,cns,small_molecule,small_molecule,small_molecule,,phase_3,"Develops small molecule therapeutics for addiction and related disorders, with lead candidate AD04 for alcohol use disorder treatment in genetically defined patient populations.",s1_filing,,-57.6,CHARLOTTESVILLE,0.1591,NCM,,,,4419680,2749,2018-07-27,101.25,2026-02-04,0.16,2019-01-15,208.25,105.7,0.16,-99.8,2834,VA
"Adicet Bio, Inc.",0001720580,ACET,2016-07-01,2017-12-29,trading,immunology,"immunology,infectious_disease,cardiovascular,cns",small_molecule,small_molecule,small_molecule,"mTOR,TORC1",phase_2,Develops small molecule TORC1 inhibitors to improve immune function and reduce respiratory tract infections in elderly patients by targeting the mTOR pathway.,s1_filing,,-49.6,BOSTON,7.75,NCM,,,,74400000,2931,2018-01-26,1890.56,2026-02-04,7.75,2018-02-23,2335.2,23.5,7.15,-99.6,2834,MA
"Aditxt, Inc.",0001726711,ADTX,2017-09-01,2020-01-15,trading,,,,,,,,,,,-98.5,RICHMOND,0.7201,NCM,,,,1278914,2045,2020-06-30,11435599872.0,2026-02-04,0.72,2020-08-06,17176000512.0,50.2,0.72,-100.0,2834,VA
"Aegerion Pharmaceuticals, Inc.",0001338042,,2005-02-01,2007-03-21,acquired,rare_disease,"rare_disease,cardiovascular,metabolic",small_molecule,small_molecule,small_molecule,MTP,phase_3,Develops small molecule MTP inhibitors for rare lipid disorders including homozygous familial hypercholesterolemia and familial chylomicronemia.,s1_filing,,,CAMBRIDGE,,,2016-10-06,,acquired,,,,,,,,,,,,2834,MA
"AEOLUS PHARMACEUTICALS, INC.",0001261734,,2001-01-05,2003-12-19,delisted,respiratory,"respiratory,oncology,cns,infectious_disease,rare_disease",small_molecule,small_molecule,small_molecule,"ROS,TGF-β1,TNF-α,IL-6,NOX4",phase_1,"Develops small molecule catalytic anti-oxidants with anti-fibrotic, anti-inflammatory, anti-infective and anti-oxidant properties for radiation exposure, lung fibrosis, oncology, and neurological diseases.",s1_filing,,,MISSION VIEJO,,,2017-12-22,,delisted,,,,,,,,,,,,2834,CA
"AEON Biopharma, Inc.",0001622667,,2012-02-01,2021-09-17,ipo_withdrawn,cns,"cns,gastroenterology",biologic,protein,protein,botulinum toxin,phase_2,"Develops a proprietary botulinum toxin complex (ABP-450) for therapeutic indications including migraine, cervical dystonia, and gastroparesis.",s1_filing,,,IRVINE,,,2021-12-29,,ipo_withdrawn,,,,,,,,,,,,2834,CA
Akari Therapeutics Plc,0001541157,AKTX,2003-01-01,2014-11-20,trading,oncology,oncology,biologic,adc,adc,"Trop2,HER2,CD19,CD22,CD30",preclinical,"Develops next-generation antibody-drug conjugates with novel proprietary payloads for treating solid tumors, with lead candidate AKTX-101 targeting Trop2.",s1_filing,,-51.8,TAMPA,0.236,NCM,,,,8434577,4412,2014-01-06,1600.0,2026-02-04,0.24,2014-01-15,2200.0,37.5,0.23,-100.0,2834,FL
"AKCEA THERAPEUTICS, INC.",0001662524,,2014-12-01,2017-03-27,acquired,rare_disease,"rare_disease,metabolic,cardiovascular",other,rna,rna,"APO(a),ANGPTL3,APOCIII",phase_3,Develops antisense RNA therapeutics for rare lipid disorders including familial chylomicronemia syndrome and familial partial lipodystrophy to reduce triglyceride levels.,s1_filing,,,BOSTON,,,2020-10-13,,acquired,,,,,,,,,,,,2834,MA
"Akero Therapeutics, Inc.",0001744659,AKRO,2017-01-01,2019-05-24,delisted,metabolic,"metabolic,gastroenterology,cardiovascular",biologic,protein,protein,FGF21,phase_2,Develops FGF21 analog protein therapeutics for NASH and metabolic diseases to restore metabolic balance and improve liver health.,s1_filing,,18.4,SOUTH SAN FRANCISCO,,,,,unknown,,2364,2019-06-20,18.32,2025-12-09,54.65,2025-02-05,57.56,214.2,8.0,198.3,2834,CA
"Akouos, Inc.",0001722271,,2016-01-01,2020-06-05,acquired,rare_disease,rare_disease,other,gene_therapy,gene_therapy,OTOF,unknown,Develops AAV-based gene therapies for genetic hearing loss using a proprietary vector library and novel delivery approach.,s1_filing,,,BOSTON,,,2022-11-30,,acquired,,,,,,,,,,,,2834,MA
Akston Biosciences Corp,0001776612,,2011-01-01,2025-10-08,unknown,oncology,"oncology,dermatology,metabolic",biologic,antibody,"antibody,protein",PD-L1,preclinical,"Develops monoclonal antibodies and Fc-fusion proteins for companion animals targeting cancer, dermatitis, pain, and metabolic diseases with a focus on PD-L1 inhibition for canine bladder cancer.",s1_filing,,,BEVERLY,,,,,unknown,,,,,,,,,,,,2834,MA
"ALBIREO PHARMA, INC.",0001322505,,2003-12-01,2014-08-14,acquired,,,,,,,,,,"Amphastar Pharmaceuticals, Inc.",,BOSTON,,,2016-09-19,,acquired,,,,,,,,,,,,2834,MA
ALDER BIOPHARMACEUTICALS INC,0001423824,,2002-05-01,2014-03-19,acquired,cns,"cns,immunology,rare_disease",biologic,antibody,antibody,IL-6,phase_2,"Develops therapeutic antibodies for migraine prevention, rheumatoid arthritis, and Cushing's disease using proprietary antibody platform and yeast-based manufacturing technology.",s1_filing,,,BOTHELL,,,2019-10-22,,acquired,,,,,,,,,,,,2834,WA
"Aldeyra Therapeutics, Inc.",0001341235,ALDX,2004-01-01,2014-01-06,trading,,,,,,,,,,,-2.8,LEXINGTON,5.18,NCM,,,,311643136,4296,2014-05-02,7.2,2026-02-04,5.18,2021-04-27,14.85,106.3,1.42,-28.1,2834,MA
ALGORX PHARMACEUTICALS INC,0001139029,,2001-03-01,2004-11-24,ipo_withdrawn,pain_management,"cns,pain_management",small_molecule,small_molecule,small_molecule,"capsaicin,lidocaine",phase_3,Develops pharmaceutical products for pain management including capsaicin injections for severe pain conditions and needle-free lidocaine delivery systems for procedural pain.,s1_filing,,,SECAUCUS,,,2005-12-15,,ipo_withdrawn,,,,,,,,,,,,2834,NJ
ALIMERA SCIENCES INC,0001267602,,2003-06-01,2012-11-16,acquired,,,,,,,,,,"ANI Pharmaceuticals, Inc.",,ALPHARETTA,,,2024-08-08,,acquired,,,,,,,,,,,,2834,GA
Allakos Inc.,0001564824,,2012-03-01,2018-06-22,acquired,immunology,"immunology,gastroenterology,dermatology,ophthalmology,rare_disease",biologic,antibody,antibody,Siglec-8,phase_2,"Develops AK002, a monoclonal antibody targeting Siglec-8 to selectively deplete eosinophils and inhibit mast cells for treating inflammatory diseases including eosinophilic gastritis, indolent systemic mastocytosis, chronic urticaria, and severe allergic conjunctivitis.",s1_filing,,,SAN DIEGO,,,2025-05-15,,acquired,,,,,,,,,,,,2834,CA
"Alto Neuroscience, Inc.",0001999480,ANRO,2019-01-01,2024-01-12,trading,cns,cns,small_molecule,small_molecule,small_molecule,NMDA,phase_2,Develops precision psychiatry treatments using brain-based biomarkers to match patients with small molecule therapies for major depressive disorder and schizophrenia.,s1_filing,,-15.9,MOUNTAIN VIEW,14.63,NYQ,,,,454500512,733,2024-02-02,20.7,2026-02-04,14.63,2024-02-05,21.8,5.3,1.8,-29.3,2834,CA
Altovida Inc.,0001529293,,2011-07-15,2011-09-08,unknown,,,,,,,,,,,,LANARKSHIRE,,,,,unknown,,,,,,,,,,,,2834,X0
ALUMIS INC.,0001847367,ALMS,2010-01-01,2024-06-07,trading,,,,,,,,,,,53.1,SOUTH SAN FRANCISCO,26.355,NMS,,,,3286228736,586,2024-06-28,13.3,2026-02-04,26.35,2026-01-28,27.71,108.3,2.8,98.2,2834,CA
ALX ONCOLOGY HOLDINGS INC,0001810182,ALXO,2015-01-01,2020-06-26,trading,oncology,"oncology,hematology",biologic,antibody,antibody,CD47,phase_2,Develops CD47 checkpoint inhibitor therapies for cancer treatment targeting the 'don't eat me' signal to enhance immune system detection of cancer cells.,s1_filing,,-38.8,SOUTH SAN FRANCISCO,1.955,NMS,,,,105996192,2028,2020-07-17,30.0,2026-02-04,1.96,2020-12-10,112.26,274.2,0.41,-93.5,2834,CA
"Alzamend Neuro, Inc.",0001677077,ALZN,2016-02-01,2021-05-10,trading,,,,,,,,,,,-85.8,ATLANTA,2.105,NCM,,,,8002378,1695,2021-06-15,18225.0,2026-02-04,2.11,2021-06-15,18225.0,0.0,1.82,-100.0,2834,GA
"ALZHEON, INC.",0001582636,,2013-01-01,2018-03-16,ipo_withdrawn,cns,cns,small_molecule,small_molecule,small_molecule,"beta_amyloid,amyloid_oligomers,protein_misfolding",phase_2,"Develops small molecule inhibitors of protein misfolding and aggregation for Alzheimer's disease and other neurodegenerative disorders, with lead candidate ALZ-801 targeting beta amyloid oligomers.",s1_filing,,,FRAMINGHAM,,,2019-01-16,,ipo_withdrawn,,,,,,,,,,,,2834,MA
"Amarantus Bioscience Holdings, Inc.",0001424812,,2008-01-01,2013-10-03,delisted,cns,"cns,ophthalmology,rare_disease,dermatology",both,protein,"small_molecule,protein,diagnostics,tissue_engineering","5HT1A,5HT1B,MANF,CD69",phase_2,"Develops diagnostic tests for neurological diseases and therapeutics including small molecule and protein therapies for Parkinson's disease, ADHD, retinitis pigmentosa, and regenerative medicine applications.",s1_filing,,,SAN FRANCISCO,,,2017-12-04,,delisted,,,,,,,,,,,,2834,CA
AMBIT BIOSCIENCES CORP,0001131543,,2004-12-01,2010-11-05,acquired,oncology,"oncology,immunology,hematology",small_molecule,small_molecule,small_molecule,"FLT3,JAK2,CSF1R",phase_2,"Develops selective small molecule kinase inhibitors targeting FLT3, JAK2, and CSF1R for oncology, autoimmune and inflammatory diseases.",s1_filing,,,SAN DIEGO,,,2014-11-13,,acquired,,,,,,,,,,,,2834,CA
AMBRX INC,0001264647,,2003-01-01,2014-05-02,ipo_withdrawn,oncology,"oncology,metabolic,rare_disease",biologic,adc,"adc,protein,bispecific","HER2,FGF21",phase_2,Develops site-specific protein bio-conjugates including antibody drug conjugates for cancer and long-acting therapeutic proteins for metabolic and rare diseases.,s1_filing,,,LA JOLLA,,,2014-06-30,,ipo_withdrawn,,,,,,,,,,,,2834,CA
America Great Health,0001098009,,2010-07-06,2011-09-09,unknown,,,other,generic_pharmaceutical_distribution,generic_pharmaceutical_distribution,,unknown,"Distributes non-addictive generic pharmaceutical products from Indian manufacturers to regional distributors in developing markets, primarily the Caribbean and Latin America",s1_filing,,,ALHAMBRA,,,,,unknown,,,,,,,,,,,,2834,CA
"Amneal Pharmaceuticals, Inc.",0001723128,AMRX,2002-01-01,2018-03-07,trading,,"oncology,cns,cardiovascular,respiratory,ophthalmology,dermatology,infectious_disease,metabolic",small_molecule,small_molecule,small_molecule,,approved,Develops and manufactures generic pharmaceutical products across multiple dosage forms and therapeutic areas with focus on high-value products with substantial barriers-to-entry.,s1_filing,,-0.4,,14.5498,NMS,,,,4573917696,2830,2018-05-07,15.01,2026-02-04,14.55,2018-08-20,24.27,61.7,1.27,-3.1,2834,
"Ampio Pharmaceuticals, Inc.",0001411906,,2008-12-01,2010-11-12,delisted,rheumatology,rheumatology,small_molecule,small_molecule,small_molecule,,preclinical,Develops a proprietary small molecule formulation with natural metabolite active ingredient for treating osteoarthritis of the knee through down-regulation of inflammatory cytokines.,s1_filing,,,ENGLEWOOD,,,2024-04-15,,delisted,,,,,,,,,,,,2834,CO
"Amylyx Pharmaceuticals, Inc.",0001658551,AMLX,2014-01-01,2021-12-16,trading,,,,,,,,,,,-6.3,CAMBRIDGE,13.83,NMS,,,,1518804608,1489,2022-01-07,18.07,2026-02-04,13.83,2023-01-27,40.93,126.5,1.62,-23.5,2834,MA
"AN2 Therapeutics, Inc.",0001880438,ANTX,2017-02-01,2022-03-04,trading,infectious_disease,"infectious_disease,rare_disease",small_molecule,small_molecule,small_molecule,bacterial protein synthesis,phase_2,"Develops boron chemistry-based small molecule treatments for rare infectious diseases, with lead candidate epetraborole targeting non-tuberculous mycobacterial lung disease.",s1_filing,,-49.7,MENLO PARK,1.08,NMS,,,,29594188,1412,2022-03-25,15.4,2026-02-04,1.08,2022-08-15,22.29,44.7,0.98,-93.0,2834,CA
"ANAPTYSBIO, INC",0001370053,ANAB,2005-11-01,2015-09-09,trading,immunology,"immunology,dermatology,respiratory,rare_disease,oncology",biologic,antibody,"antibody,bispecific","IL-33,IL-36R,PD-1,TIM-3,LAG-3",phase_2,"Develops first-in-class antibody therapeutics targeting inflammatory and immune checkpoint pathways for severe inflammatory disorders including atopic dermatitis, food allergies, and rare diseases.",s1_filing,,12.5,SAN DIEGO,49.39,NMS,,,,1381586304,3296,2017-01-26,17.0,2026-02-04,49.39,2018-03-02,128.55,656.2,10.18,190.5,2834,CA
"Anebulo Pharmaceuticals, Inc.",0001815974,ANEB,2020-04-01,2021-04-01,trading,cns,"cns,substance_addiction",small_molecule,small_molecule,small_molecule,CB1,phase_2,"Develops small molecule cannabinoid receptor antagonists to treat acute cannabinoid intoxication and substance addiction, with lead candidate ANEB-001 targeting CB1 receptors to rapidly reverse THC effects.",s1_filing,,-35.0,LAKEWAY,0.9244,NCM,,,,37701404,1734,2021-05-07,7.1,2026-02-04,0.92,2021-05-21,8.95,26.1,0.86,-87.0,2834,TX
"Annexon, Inc.",0001528115,ANNX,2011-03-01,2020-07-02,trading,immunology,"immunology,cns,ophthalmology,rare_disease",biologic,protein,protein,C1q,unknown,"Develops complement inhibitor therapies targeting C1q for classical complement-mediated autoimmune and neurodegenerative disorders affecting the body, brain and eye.",s1_filing,,-17.5,BRISBANE,6.105,NMS,,,,909986112,2021,2020-07-24,17.76,2026-02-04,6.11,2021-03-16,35.01,97.1,1.38,-65.6,2834,CA
"Annovis Bio, Inc.",0001477845,ANVS,2008-01-01,2019-07-03,trading,cns,cns,small_molecule,small_molecule,small_molecule,"APP,tau,alpha-synuclein",phase_2,"Develops oral small molecule ANVS-401 that inhibits translation of neurotoxic proteins APP, tau, and alpha-synuclein for treating Alzheimer's disease, Parkinson's disease, and other neurodegenerative diseases.",s1_filing,,-20.0,MALVERN,2.5,NYQ,,,,66257220,2198,2020-01-29,9.59,2026-02-04,2.5,2021-07-13,120.97,1161.4,1.22,-73.9,2834,PA
ANTERIOS INC,0001390085,,2006-01-01,2015-03-31,unknown,dermatology,dermatology,biologic,protein,protein,acetylcholine,phase_2,"Develops novel botulinum toxin formulations including topical and injectable products for dermatological conditions such as hyperhidrosis, acne, and wrinkles.",s1_filing,,,NEW YORK,,,,,unknown,,,,,,,,,,,,2834,NY
Anthera Pharmaceuticals Inc,0001316175,,2004-09-01,2009-09-15,delisted,cardiovascular,"cardiovascular,immunology",small_molecule,small_molecule,small_molecule,"sPLA2,BAFF",phase_3,Develops small molecule inhibitors targeting sPLA2 for inflammatory diseases including cardiovascular conditions and BAFF for autoimmune diseases.,s1_filing,,,HAYWARD,,,2018-07-30,,delisted,,,,,,,,,,,,2834,CA
Applied Molecular Transport Inc.,0001801777,,2016-11-21,2020-05-18,acquired,gastroenterology,"immunology,gastroenterology,metabolic",biologic,protein,"protein,peptide,antibody,rna","IL-10,IL-22",phase_2,Develops oral biologic therapeutics using proprietary technology to deliver cytokines and other biologics locally to gastrointestinal tissue for treating autoimmune and inflammatory diseases.,s1_filing,"Parent, and Applied Molecular Transport Inc.",,WILMINGTON,,,2023-11-21,,acquired,,,,,,,,,,,,2834,DE
"Aprea Therapeutics, Inc.",0001781983,APRE,2019-05-01,2019-09-06,trading,oncology,"oncology,hematology",small_molecule,small_molecule,small_molecule,"p53,TP53,Bcl-2",phase_3,"Develops small molecule p53 reactivators for treating TP53 mutant hematologic malignancies including MDS and AML, with lead candidate APR-246 in pivotal Phase 3 trials.",s1_filing,,-63.6,DOYLESTOWN,0.6708,NCM,,,,4691466,2316,2019-10-03,410.0,2026-02-04,0.67,2019-12-27,990.6,141.6,0.47,-99.8,2834,PA
Aptevo Therapeutics Inc.,0001671584,APVO,2016-02-01,2023-06-30,trading,oncology,"oncology,hematology",biologic,bispecific,"bispecific,t_cell_engager,agonist,checkpoint_inhibitor","CD123,CD3,4-1BB,5T4,PD-L1",phase_2,Develops immunotherapy candidates including T cell engagers and bispecific antibodies for cancer treatment using proprietary ADAPTIR platform technologies.,s1_filing,,-81.5,SEATTLE,6.5627,NCM,,,,10248227,3486,2016-07-20,65640960.0,2026-02-04,6.56,2016-07-20,65640960.0,0.0,6.56,-100.0,2834,WA
Aptinyx Inc.,0001674365,,2015-06-01,2018-05-23,ipo_withdrawn,cns,cns,small_molecule,small_molecule,small_molecule,NMDAR,phase_2,"Develops synthetic small molecule modulators of NMDA receptors for brain and nervous system disorders including chronic pain, PTSD, and cognitive impairment.",s1_filing,,,EVANSTON,,,2023-05-24,,ipo_withdrawn,,,,,,,,,,,,2834,IL
"ARATANA THERAPEUTICS, INC.",0001509190,,2010-12-01,2013-03-20,acquired,oncology,"oncology,immunology,infectious_disease,ophthalmology,dermatology",both,antibody,"antibody,small_molecule",,approved,"Develops monoclonal antibodies and small molecule pharmaceuticals for treating cancer, pain, infections, and other conditions in companion animals like dogs and cats.",s1_filing,,,LEAWOOD,,,2019-06-17,,acquired,,,,,,,,,,,,2834,KS
"Aravive, Inc.",0001513818,,2008-12-01,2014-02-18,delisted,rare_disease,rare_disease,biologic,protein,protein,growth_hormone,phase_3,Develops a long-acting recombinant human growth hormone fusion protein (VRS-317) for growth hormone deficiency to reduce injection frequency and improve patient compliance.,s1_filing,,,HOUSTON,,,2024-02-08,,delisted,,,,,,,,,,,,2834,TX
"Arcus Biosciences, Inc.",0001724521,RCUS,2017-11-01,2018-02-16,trading,oncology,oncology,both,small_molecule,"small_molecule,antibody","A2aR,A2bR,CD73,adenosine receptors",phase_1,Develops small-molecule and antibody cancer immunotherapies targeting the ATP-adenosine pathway to reverse immunosuppression in the tumor microenvironment.,s1_filing,,2.9,HAYWARD,21.245,NYQ,,,,2628612864,2883,2018-03-15,17.0,2026-02-04,21.25,2021-11-23,48.47,185.1,6.44,25.0,2834,CA
"ARMO BioSciences, Inc.",0001693664,,2014-07-01,2017-12-29,acquired,oncology,oncology,biologic,protein,protein,"IL-10,CD8,PD-1,PD-L1",phase_3,"Develops AM0010, a long-acting IL-10 protein that activates CD8+ T cells for cancer immunotherapy, with Phase 3 trials in pancreatic cancer and Phase 2 programs in lung cancer.",s1_filing,,,REDWOOD CITY,,,2018-06-22,,acquired,,,,,,,,,,,,2834,CA
"Arno Therapeutics, Inc",0001195116,,2000-03-01,2008-07-31,delisted,oncology,"oncology,infectious_disease,cns",small_molecule,small_molecule,small_molecule,"progesterone receptor,GRP78,HSP70,HSP90,HDAC",phase_2,Develops oral small molecule therapeutics including anti-progestin hormone blockers for cancer treatment and multi-kinase inhibitors for both oncology and infectious diseases.,s1_filing,,,FLEMINGTON,,,2017-03-30,,delisted,,,,,,,,,,,,2834,NJ
"Arog Pharmaceuticals, Inc.",0001753850,,2015-01-01,2018-09-28,unknown,oncology,"oncology,hematology",small_molecule,small_molecule,small_molecule,"FLT3,PDGF",phase_3,"Develops crenolanib, an oral FLT3 inhibitor for treating FLT3-mutated acute myeloid leukemia and other oncology indications where PDGF pathways are implicated.",s1_filing,,,DALLAS,,,,,unknown,,,,,,,,,,,,2834,TX
