name,cik,sic_code,sic_description,ticker,exchange,state,city,s1_filing_date,founding_date,founded_since_2000
"ADIAL PHARMACEUTICALS, INC.",0001513525,2834,Pharmaceutical Preparations,ADIL,Nasdaq,VA,CHARLOTTESVILLE,2017-09-07,2010-11-23,True
"Adicet Bio, Inc.",0001720580,2834,Pharmaceutical Preparations,ACET,Nasdaq,MA,BOSTON,2017-12-29,2016-07-01,True
"Aditxt, Inc.",0001726711,2834,Pharmaceutical Preparations,ADTX,Nasdaq,VA,RICHMOND,2020-01-15,2017-09-01,True
"Aegerion Pharmaceuticals, Inc.",0001338042,2834,Pharmaceutical Preparations,,,MA,CAMBRIDGE,2007-03-21,2005-02-01,True
"AEOLUS PHARMACEUTICALS, INC.",0001261734,2834,Pharmaceutical Preparations,,,CA,MISSION VIEJO,2003-12-19,2001-01-05,True
"AEON Biopharma, Inc.",0001622667,2834,Pharmaceutical Preparations,,,CA,IRVINE,2021-09-17,2012-02-01,True
Akari Therapeutics Plc,0001541157,2834,Pharmaceutical Preparations,AKTX,Nasdaq,FL,TAMPA,2014-11-20,2003-01-01,True
"AKCEA THERAPEUTICS, INC.",0001662524,2834,Pharmaceutical Preparations,,,MA,BOSTON,2017-03-27,2014-12-01,True
"Akero Therapeutics, Inc.",0001744659,2834,Pharmaceutical Preparations,AKRO,Nasdaq,CA,SOUTH SAN FRANCISCO,2019-05-24,2017-01-01,True
Akston Biosciences Corp,0001776612,2834,Pharmaceutical Preparations,,,MA,BEVERLY,2025-10-08,2011-01-01,True
"ALBIREO PHARMA, INC.",0001322505,2834,Pharmaceutical Preparations,,,MA,BOSTON,2014-08-14,2003-12-01,True
ALDER BIOPHARMACEUTICALS INC,0001423824,2834,Pharmaceutical Preparations,,,WA,BOTHELL,2014-03-19,2002-05-01,True
"Aldeyra Therapeutics, Inc.",0001341235,2834,Pharmaceutical Preparations,ALDX,Nasdaq,MA,LEXINGTON,2014-01-06,2004-01-01,True
ALGORX PHARMACEUTICALS INC,0001139029,2834,Pharmaceutical Preparations,,,NJ,SECAUCUS,2004-11-24,2001-03-01,True
ALIMERA SCIENCES INC,0001267602,2834,Pharmaceutical Preparations,,,GA,ALPHARETTA,2012-11-16,2003-06-01,True
Allakos Inc.,0001564824,2834,Pharmaceutical Preparations,,,CA,SAN DIEGO,2018-06-22,2012-03-01,True
"Alto Neuroscience, Inc.",0001999480,2834,Pharmaceutical Preparations,ANRO,NYSE,CA,MOUNTAIN VIEW,2024-01-12,2019-01-01,True
Altovida Inc.,0001529293,2834,Pharmaceutical Preparations,,,X0,LANARKSHIRE,2011-09-08,2011-07-15,True
ALUMIS INC.,0001847367,2834,Pharmaceutical Preparations,ALMS,Nasdaq,CA,SOUTH SAN FRANCISCO,2024-06-07,2010-01-01,True
"Alzamend Neuro, Inc.",0001677077,2834,Pharmaceutical Preparations,ALZN,Nasdaq,GA,ATLANTA,2021-05-10,2016-02-01,True
"Amarantus Bioscience Holdings, Inc.",0001424812,2834,Pharmaceutical Preparations,,,CA,SAN FRANCISCO,2013-10-03,2008-01-01,True
AMBIT BIOSCIENCES CORP,0001131543,2834,Pharmaceutical Preparations,,,CA,SAN DIEGO,2010-11-05,2004-12-01,True
AMBRX INC,0001264647,2834,Pharmaceutical Preparations,,,CA,LA JOLLA,2014-05-02,2003-01-01,True
America Great Health,0001098009,2834,Pharmaceutical Preparations,,,CA,ALHAMBRA,2011-09-09,2010-07-06,True
"Amneal Pharmaceuticals, Inc.",0001723128,2834,Pharmaceutical Preparations,AMRX,Nasdaq,,,2018-03-07,2002-01-01,True
"Ampio Pharmaceuticals, Inc.",0001411906,2834,Pharmaceutical Preparations,,,CO,ENGLEWOOD,2010-11-12,2008-12-01,True
"Amylyx Pharmaceuticals, Inc.",0001658551,2834,Pharmaceutical Preparations,AMLX,Nasdaq,MA,CAMBRIDGE,2021-12-16,2014-01-01,True
"AN2 Therapeutics, Inc.",0001880438,2834,Pharmaceutical Preparations,ANTX,Nasdaq,CA,MENLO PARK,2022-03-04,2017-02-01,True
"ANAPTYSBIO, INC",0001370053,2834,Pharmaceutical Preparations,ANAB,Nasdaq,CA,SAN DIEGO,2015-09-09,2005-11-01,True
"Anebulo Pharmaceuticals, Inc.",0001815974,2834,Pharmaceutical Preparations,ANEB,Nasdaq,TX,LAKEWAY,2021-04-01,2020-04-01,True
"Annexon, Inc.",0001528115,2834,Pharmaceutical Preparations,ANNX,Nasdaq,CA,BRISBANE,2020-07-02,2011-03-01,True
Anthera Pharmaceuticals Inc,0001316175,2834,Pharmaceutical Preparations,,,CA,HAYWARD,2009-09-15,2004-09-01,True
Applied Molecular Transport Inc.,0001801777,2834,Pharmaceutical Preparations,,,DE,WILMINGTON,2020-05-18,2016-11-21,True
"Aprea Therapeutics, Inc.",0001781983,2834,Pharmaceutical Preparations,APRE,Nasdaq,PA,DOYLESTOWN,2019-09-06,2019-05-01,True
Aptevo Therapeutics Inc.,0001671584,2834,Pharmaceutical Preparations,APVO,Nasdaq,WA,SEATTLE,2023-06-30,2016-02-01,True
Aptinyx Inc.,0001674365,2834,Pharmaceutical Preparations,,,IL,EVANSTON,2018-05-23,2015-06-01,True
"ARATANA THERAPEUTICS, INC.",0001509190,2834,Pharmaceutical Preparations,,,KS,LEAWOOD,2013-03-20,2010-12-01,True
"Aravive, Inc.",0001513818,2834,Pharmaceutical Preparations,,,TX,HOUSTON,2014-02-18,2008-12-01,True
"Arcus Biosciences, Inc.",0001724521,2834,Pharmaceutical Preparations,RCUS,NYSE,CA,HAYWARD,2018-02-16,2017-11-01,True
"ARMO BioSciences, Inc.",0001693664,2834,Pharmaceutical Preparations,,,CA,REDWOOD CITY,2017-12-29,2014-07-01,True
"Arno Therapeutics, Inc",0001195116,2834,Pharmaceutical Preparations,,,NJ,FLEMINGTON,2008-07-31,2000-03-01,True
"Arog Pharmaceuticals, Inc.",0001753850,2834,Pharmaceutical Preparations,,,TX,DALLAS,2018-09-28,2015-01-01,True
"ArriVent BioPharma, Inc.",0001868279,2834,Pharmaceutical Preparations,AVBP,Nasdaq,PA,NEWTOWN SQUARE,2024-01-05,2018-01-01,True
"ARS Pharmaceuticals, Inc.",0001671858,2834,Pharmaceutical Preparations,SPRY,Nasdaq,CA,SAN DIEGO,2020-11-10,2016-01-01,True
"ARTELO BIOSCIENCES, INC.",0001621221,2834,Pharmaceutical Preparations,ARTL,Nasdaq,CA,SOLANA BEACH,2014-10-08,2011-05-02,True
"ARVINAS, INC.",0001655759,2834,Pharmaceutical Preparations,ARVN,Nasdaq,CT,NEW HAVEN,2018-08-30,2013-01-01,True
"ASSEMBLY BIOSCIENCES, INC.",0001426800,2834,Pharmaceutical Preparations,ASMB,Nasdaq,CA,SOUTH SAN FRANCISCO,2010-07-20,2005-10-01,True
Atai Beckley N.V.,0001840904,2834,Pharmaceutical Preparations,ATAI,Nasdaq,,AMSTELVEEN,2021-04-20,2020-06-01,True
"Atea Pharmaceuticals, Inc.",0001593899,2834,Pharmaceutical Preparations,AVIR,Nasdaq,MA,BOSTON,2020-10-09,2016-01-01,True
"Athenex, Inc.",0001300699,2834,Pharmaceutical Preparations,,,NY,BUFFALO,2017-05-12,2003-11-01,True
"ATHERSYS, INC / NEW",0001368148,2834,Pharmaceutical Preparations,,,OH,CLEVELAND,2007-07-10,2005-06-01,True
"ATOSSA THERAPEUTICS, INC.",0001488039,2834,Pharmaceutical Preparations,ATOS,Nasdaq,WA,SEATTLE,2010-03-30,2009-04-30,True
"AUDEO ONCOLOGY, INC.",0001552899,2834,Pharmaceutical Preparations,,,CA,SAN FRANCISCO,2012-07-06,2012-06-01,True
"AURIGA LABORATORIES, INC.",0001072313,2834,Pharmaceutical Preparations,,,CA,LOS ANGELES,2008-02-08,2005-04-01,True
"Auspex Pharmaceuticals, Inc.",0001454189,2834,Pharmaceutical Preparations,,,CA,LA JOLLA,2013-12-20,2001-02-01,True
"Avenir Wellness Solutions, Inc.",0001643301,2834,Pharmaceutical Preparations,,,CA,SHERMAN OAKS,2015-06-10,2014-05-15,True
"AVENUE THERAPEUTICS, INC.",0001644963,2834,Pharmaceutical Preparations,ATXI,OTC,FL,BAY HARBOR ISLANDS,2017-04-28,2006-06-01,True
"Axsome Therapeutics, Inc.",0001579428,2834,Pharmaceutical Preparations,AXSM,Nasdaq,NY,NEW YORK,2015-10-13,2012-01-01,True
AXXESS PHARMA INC.,0001103309,2834,Pharmaceutical Preparations,,,A6,MARKHAM,2014-07-25,2013-10-01,True
"Azitra, Inc.",0001701478,2834,Pharmaceutical Preparations,AZTR,NYSE,CT,BRANFORD,2023-02-21,2014-01-01,True
Barinthus Biotherapeutics plc.,0001828185,2834,Pharmaceutical Preparations,BRNS,Nasdaq,MD,GERMANTOWN,2021-04-09,2016-01-01,True
BARRIER THERAPEUTICS INC,0001173657,2834,Pharmaceutical Preparations,,,NJ,PRINCETON,2004-02-06,2001-01-01,True
Baxalta Inc,0001620546,2834,Pharmaceutical Preparations,,,IL,BANNOCKBURN,2015-06-23,2015-06-23,True
"Bayhill Therapeutics, Inc.",0001290157,2834,Pharmaceutical Preparations,,,CA,PALO ALTO,2008-01-09,2000-12-01,True
"BELLICUM PHARMACEUTICALS, INC",0001358403,2834,Pharmaceutical Preparations,,,TX,HOUSTON,2014-11-18,2004-07-01,True
"Benda Pharmaceutical, Inc.",0000705868,2834,Pharmaceutical Preparations,,,F4,"HUBEI PROVINCE,",2008-08-01,2001-04-01,True
Bicara Therapeutics Inc.,0002023658,2834,Pharmaceutical Preparations,BCAX,Nasdaq,MA,BOSTON,2024-08-22,2018-12-01,True
BICYCLE THERAPEUTICS PLC,0001761612,2834,Pharmaceutical Preparations,BCYC,Nasdaq,X0,CAMBRIDGE,2019-04-26,2016-04-01,True
"BIO-PATH HOLDINGS, INC.",0001133818,2834,Pharmaceutical Preparations,BPTH,OTC,TX,BELLAIRE,2010-06-17,2007-05-10,True
"BIOADAPTIVES, INC.",0001575142,2834,Pharmaceutical Preparations,BDPT,OTC,NV,LAS VEGAS,2013-12-02,2011-04-01,True
"BioAge Labs, Inc.",0001709941,2834,Pharmaceutical Preparations,BIOA,Nasdaq,CA,EMERYVILLE,2024-09-03,2020-12-01,True
BIOCANCELL THERAPEUTICS INC.,0001451980,2834,Pharmaceutical Preparations,,,L3,JERUSALEM,2008-12-17,2004-07-26,True
Biofrontera Inc.,0001858685,2834,Pharmaceutical Preparations,BFRI,Nasdaq,MA,WOBURN,2021-07-06,2015-03-01,True
Biohaven Ltd.,0001935979,2834,Pharmaceutical Preparations,BHVN,NYSE,CT,NEW HAVEN,2022-10-18,2022-05-02,True
Biohaven Pharmaceutical Holding Co Ltd.,0001689813,2834,Pharmaceutical Preparations,,,CT,NEW HAVEN,2017-04-07,2013-07-01,True
Bioquest Corp,0001568628,2834,Pharmaceutical Preparations,BQST,OTC,CA,NEWPORT BEACH,2013-02-05,2011-05-17,True
"BIORA THERAPEUTICS, INC.",0001580063,2834,Pharmaceutical Preparations,,,CA,SAN DIEGO,2020-05-27,2012-01-01,True
"Biostar Pharmaceuticals, Inc.",0001418133,2834,Pharmaceutical Preparations,,,F4,"XIANYANG, SHAANXI PROVINCE",2008-06-27,2007-03-27,True
Biostax Corp.,0001559356,2834,Pharmaceutical Preparations,,,FL,WINTER PARK,2016-10-14,2013-01-01,True
BIOVIE INC.,0001580149,2834,Pharmaceutical Preparations,BIVI,Nasdaq,NV,CARSON CITY,2013-08-15,2013-04-10,True
"BioXcel Therapeutics, Inc.",0001720893,2834,Pharmaceutical Preparations,BTAI,Nasdaq,CT,NEW HAVEN,2018-02-12,2017-03-01,True
"BIOXYTRAN, INC",0001445815,2834,Pharmaceutical Preparations,BIXT,OTC,MA,NEEDHAM,2008-10-31,2008-06-09,True
BODY & MIND INC.,0001715611,2834,Pharmaceutical Preparations,BMMJ,OTC,A1,VANCOUVER,2020-03-13,2014-03-03,True
"Bohai Pharmaceuticals Group, Inc.",0001443242,2834,Pharmaceutical Preparations,,,F4,"YANTAI, SHANDONG PROVINCE",2008-08-20,2008-01-09,True
"Bolt Biotherapeutics, Inc.",0001641281,2834,Pharmaceutical Preparations,BOLT,Nasdaq,CA,REDWOOD CITY,2021-01-15,2015-01-01,True
"Boundless Bio, Inc.",0001782303,2834,Pharmaceutical Preparations,BOLD,Nasdaq,CA,SAN DIEGO,2024-03-06,2018-01-01,True
"Braeburn Pharmaceuticals, Inc.",0001688765,2834,Pharmaceutical Preparations,,,NJ,PRINCETON,2016-12-30,2012-09-01,True
"BridgeBio Pharma, Inc.",0001743881,2834,Pharmaceutical Preparations,BBIO,Nasdaq,CA,PALO ALTO,2019-05-24,2015-04-01,True
CADENCE PHARMACEUTICALS INC,0001333248,2834,Pharmaceutical Preparations,,,CA,SAN DIEGO,2006-07-17,2004-05-01,True
"CalciMedica, Inc.",0001534133,2834,Pharmaceutical Preparations,CALC,Nasdaq,CA,LA JOLLA,2020-09-04,2011-05-01,True
"Calithera Biosciences, Inc.",0001496671,2834,Pharmaceutical Preparations,CALA,OTC,CA,SOUTH SAN FRANCISCO,2014-08-25,2010-03-01,True
"Cancer Prevention Pharmaceuticals, Inc.",0001471002,2834,Pharmaceutical Preparations,,,AZ,TUCSON,2015-12-23,2009-12-01,True
Cantabio Pharmaceuticals Inc.,0001550518,2834,Pharmaceutical Preparations,,,CA,PALO ALTO,2012-05-23,2012-02-06,True
"CARDAX, INC.",0001544238,2834,Pharmaceutical Preparations,,,HI,HONOLULU,2012-05-29,2003-07-07,True
"Castle Creek Biosciences, Inc.",0001756702,2834,Pharmaceutical Preparations,,,NJ,PARSIPPANY,2021-07-16,2015-08-01,True
"Cavit Sciences, Inc.",0001368502,2834,Pharmaceutical Preparations,,,NJ,PATERSON,2008-06-11,2006-04-12,True
CDT Equity Inc.,0001896212,2834,Pharmaceutical Preparations,CDT,Nasdaq,FL,NAPLES,2022-01-06,2021-10-01,True
"Cell Source, Inc.",0001569340,2834,Pharmaceutical Preparations,CLCS,OTC,NY,NEW YORK,2013-03-05,2012-06-06,True
Celularity Inc,0001752828,2834,Pharmaceutical Preparations,CELU,Nasdaq,NJ,FLORHAM PARK,2019-04-26,2018-08-01,True
CEN BIOTECH INC,0001653821,2834,Pharmaceutical Preparations,,,A6,WINDSOR,2020-06-19,2016-05-13,True
Centessa Pharmaceuticals plc,0001847903,2834,Pharmaceutical Preparations,CNTA,Nasdaq,X0,"ALTRINCHAM, CHESHIRE",2021-04-21,2020-10-01,True
Centrexion Therapeutics Corp,0001592052,2834,Pharmaceutical Preparations,,,MA,BOSTON,2018-10-19,2000-01-01,True
"Checkpoint Therapeutics, Inc.",0001651407,2834,Pharmaceutical Preparations,,,MA,WALTHAM,2017-03-21,2014-11-01,True
Chemomab Therapeutics Ltd.,0001534248,2834,Pharmaceutical Preparations,CMMB,Nasdaq,,TEL AVIV,2023-01-13,2011-09-22,True
CHIMERIX INC,0001117480,2834,Pharmaceutical Preparations,,,NC,DURHAM,2013-03-08,2000-04-01,True
"CHINA PEDIATRIC PHARMACEUTICALS, INC.",0001354071,2834,Pharmaceutical Preparations,,,F4,"XIAN, SHAANXI PROVINCE",2010-01-28,2008-06-27,True
China Pharmaceuticals Inc,0001341808,2834,Pharmaceutical Preparations,,,F4,XIAN CITY,2010-07-20,2008-05-29,True
"China Polypeptide Group, Inc.",0001435530,2834,Pharmaceutical Preparations,,,F4,WUHA,2008-05-23,2007-03-01,True
"CHINOOK THERAPEUTICS, INC.",0001435049,2834,Pharmaceutical Preparations,,,WA,SEATTLE,2015-03-11,2000-01-01,True
Chrome Holding Co.,0001804591,2834,Pharmaceutical Preparations,MEHCQ,NYS,CA,SAN FRANCISCO,2020-09-16,2020-02-19,True
"CinCor Pharma, Inc.",0001868734,2834,Pharmaceutical Preparations,,,MA,WALTHAM,2021-12-17,2018-03-01,True
Cingulate Inc.,0001862150,2834,Pharmaceutical Preparations,CING,Nasdaq,KS,KANSAS CITY,2021-09-09,2012-12-14,True
"Cirius Therapeutics, Inc.",0001702956,2834,Pharmaceutical Preparations,,,MI,GRAND RAPIDS,2019-01-11,2015-11-01,True
"CITIUS ONCOLOGY, INC.",0001851484,2834,Pharmaceutical Preparations,CTOR,Nasdaq,NJ,CRANFORD,2021-05-19,2021-03-01,True
"Citius Pharmaceuticals, Inc.",0001506251,2834,Pharmaceutical Preparations,CTXR,Nasdaq,NJ,CRANFORD,2010-11-23,2010-09-09,True
CLARUS THERAPEUTICS INC,0001286162,2834,Pharmaceutical Preparations,,,,,2010-11-19,2003-06-01,True
"Clearside Biomedical, Inc.",0001539029,2834,Pharmaceutical Preparations,CLSDQ,OTC,GA,ALPHARETTA,2016-01-08,2015-12-01,True
Clever Leaves Holdings Inc.,0001819615,2834,Pharmaceutical Preparations,CLVR,OTC,F8,TOCANCIPA - CUNDINAMARCA,2021-01-20,2017-01-01,True
"Climb Bio, Inc.",0001768446,2834,Pharmaceutical Preparations,CLYM,Nasdaq,MA,WELLESLEY HILLS,2021-07-16,2018-10-01,True
"Clovis Oncology, Inc.",0001466301,2834,Pharmaceutical Preparations,,,CO,BOULDER,2011-06-23,2009-04-01,True
CNBX Pharmaceuticals Inc.,0001343009,2834,Pharmaceutical Preparations,CNBX,OTC,MD,BETHESDA,2013-12-11,2004-09-15,True
"CNS Pharmaceuticals, Inc.",0001729427,2834,Pharmaceutical Preparations,CNSP,Nasdaq,TX,HOUSTON,2019-06-28,2017-07-01,True
Coeptis Therapeutics Inc.,0001819663,2834,Pharmaceutical Preparations,,,PA,WEXFORD,2022-02-04,2018-11-01,True
"Cogent Biosciences, Inc.",0001622229,2834,Pharmaceutical Preparations,COGT,Nasdaq,MA,WALTHAM,2018-03-02,2014-03-01,True
"CoLabs Int'l, Corp.",0001584879,2834,Pharmaceutical Preparations,,,CA,HUNTINGTON BEACH,2023-03-27,2008-08-05,True
"COLLEGIUM PHARMACEUTICAL, INC",0001267565,2834,Pharmaceutical Preparations,COLL,Nasdaq,MA,STOUGHTON,2015-04-02,2002-04-01,True
"Comera Life Sciences Holdings, Inc.",0001907685,2834,Pharmaceutical Preparations,CMRA,OTC,MA,WOBURN,2022-05-05,2014-01-01,True
CONSTELLATION PHARMACEUTICALS INC,0001434418,2834,Pharmaceutical Preparations,,,MA,CAMBRIDGE,2018-06-22,2008-01-01,True
Context Therapeutics Inc.,0001842952,2834,Pharmaceutical Preparations,CNTX,Nasdaq,PA,PHILADELPHIA,2021-05-27,2017-12-01,True
"Contineum Therapeutics, Inc.",0001855175,2834,Pharmaceutical Preparations,CTNM,Nasdaq,CA,SAN DIEGO,2024-03-15,2017-05-01,True
"Corbus Pharmaceuticals Holdings, Inc.",0001595097,2834,Pharmaceutical Preparations,CRBP,Nasdaq,MA,NORWOOD,2014-09-03,2009-04-24,True
CORNERSTONE THERAPEUTICS INC,0001145404,2834,Pharmaceutical Preparations,,,NC,CARY,2004-03-19,2000-07-01,True
CORUS PHARMA INC,0001143714,2834,Pharmaceutical Preparations,,,WA,SEATTLE,2004-08-27,2001-01-02,True
"Coya Therapeutics, Inc.",0001835022,2834,Pharmaceutical Preparations,COYA,Nasdaq,TX,HOUSTON,2022-11-18,2020-04-30,True
CQENS Technologies Inc.,0001479915,2834,Pharmaceutical Preparations,,,MN,MINNEAPOLIS,2010-03-29,2002-01-01,True
"CRESCENT BIOPHARMA, INC.",0001253689,2834,Pharmaceutical Preparations,CBIO,Nasdaq,MA,WALTHAM,2013-10-04,2003-04-04,True
"Cue Biopharma, Inc.",0001645460,2834,Pharmaceutical Preparations,CUE,Nasdaq,MA,BOSTON,2017-09-21,2011-01-01,True
CUMBERLAND PHARMACEUTICALS INC,0001087294,2834,Pharmaceutical Preparations,CPIX,Nasdaq,TN,"NASHVILLE,",2009-07-29,2006-09-01,True
Curanex Pharmaceuticals Inc,0002025942,2834,Pharmaceutical Preparations,CURX,Nasdaq,NY,JERICHO,2024-10-16,2018-06-01,True
CURAXIS PHARMACEUTICAL Corp,0001170723,2834,Pharmaceutical Preparations,,,2Q,ALPHARETTA,2005-09-09,2001-02-01,True
CURAXIS PHARMACEUTICAL Corp,0001434893,2834,Pharmaceutical Preparations,,,NC,RALEIGH,2008-05-15,2008-02-01,True
CUTANEA LIFE SCIENCES INC,0001374049,2834,Pharmaceutical Preparations,,,PA,WAYNE,2010-08-12,2005-05-01,True
"CV Sciences, Inc.",0001510964,2834,Pharmaceutical Preparations,CVSI,OTC,CA,SAN DIEGO,2011-03-31,2010-12-09,True
"Cyclerion Therapeutics, Inc.",0001755237,2834,Pharmaceutical Preparations,CYCN,Nasdaq,MA,CAMBRIDGE,2019-04-18,2013-09-01,True
"Cyteir Therapeutics, Inc.",0001662244,2834,Pharmaceutical Preparations,,,MA,STONEHAM,2021-05-28,2020-09-01,True
"CytomX Therapeutics, Inc.",0001501989,2834,Pharmaceutical Preparations,CTMX,Nasdaq,CA,SOUTH SAN FRANCISCO,2015-08-28,2010-09-01,True
Dance Biopharm Inc.,0001596126,2834,Pharmaceutical Preparations,,,CA,BRISBANE,2014-04-09,2009-02-01,True
"Day One Biopharmaceuticals, Inc.",0001845337,2834,Pharmaceutical Preparations,DAWN,Nasdaq,CA,BRISBANE,2021-05-04,2018-11-01,True
"Deciphera Pharmaceuticals, Inc.",0001654151,2834,Pharmaceutical Preparations,,,MA,WALTHAM,2017-09-01,2016-06-01,True
Dermavant Sciences Ltd,0001753483,2834,Pharmaceutical Preparations,,,AZ,PHOENIX,2019-05-24,2016-03-01,True
"Dermira, Inc.",0001557883,2834,Pharmaceutical Preparations,,,CA,MENLO PARK,2014-08-27,2010-08-01,True
"Design Therapeutics, Inc.",0001807120,2834,Pharmaceutical Preparations,DSGN,Nasdaq,CA,CARLSBAD,2021-03-05,2017-12-01,True
"DICE Therapeutics, Inc.",0001645569,2834,Pharmaceutical Preparations,,,CA,SOUTH SAN FRANCISCO,2021-08-25,2013-11-01,True
Dicerna Pharmaceuticals Inc,0001399529,2834,Pharmaceutical Preparations,,,MA,LEXINGTON,2013-12-31,2006-10-01,True
"Disc Medicine, Inc.",0001816736,2834,Pharmaceutical Preparations,IRON,Nasdaq,MA,WATERTOWN,2020-07-24,2020-06-01,True
"DNIB UNWIND, INC.",0001385228,2834,Pharmaceutical Preparations,,,MA,CAMBRIDGE,2013-08-12,2006-05-01,True
"Dogwood Therapeutics, Inc.",0001818844,2834,Pharmaceutical Preparations,DWTX,Nasdaq,GA,ALPHARETTA,2020-08-28,2007-01-01,True
Dova Pharmaceuticals Inc.,0001685071,2834,Pharmaceutical Preparations,,,NC,DURHAM,2017-06-02,2016-03-01,True
"EAGLE PHARMACEUTICALS, INC.",0000827871,2834,Pharmaceutical Preparations,,,NJ,WOODCLIFF LAKE,2013-12-20,2007-01-01,True
EARTH DRAGON RESOURCES INC.,0001441247,2834,Pharmaceutical Preparations,,,M0,TOKYO,2008-07-30,2007-10-23,True
"Earth Science Tech, Inc.",0001538495,2834,Pharmaceutical Preparations,ETST,OTC,FL,MIAMI,2012-02-01,2010-04-23,True
"Edgewise Therapeutics, Inc.",0001710072,2834,Pharmaceutical Preparations,EWTX,Nasdaq,CO,BOULDER,2021-03-05,2017-01-01,True
"Eidos Therapeutics, Inc.",0001731831,2834,Pharmaceutical Preparations,,,CA,SAN FRANCISCO,2018-05-25,2013-01-01,True
"Elicio Therapeutics, Inc.",0001601485,2834,Pharmaceutical Preparations,ELTX,Nasdaq,MA,BOSTON,2014-04-14,2011-06-01,True
"Emmaus Life Sciences, Inc.",0000822370,2834,Pharmaceutical Preparations,EMMA,OTC,CA,TORRANCE,2010-02-01,2000-01-11,True
"Enliven Therapeutics, Inc.",0001672619,2834,Pharmaceutical Preparations,ELVN,Nasdaq,CO,BOULDER,2020-02-14,2016-01-01,True
"Ensysce Biosciences, Inc.",0001716947,2834,Pharmaceutical Preparations,ENSC,Nasdaq,CA,LA JOLLA,2017-11-03,2013-01-01,True
Entasis Therapeutics Holdings Inc.,0001724344,2834,Pharmaceutical Preparations,,,MA,WALTHAM,2018-08-17,2015-05-01,True
"Enterologics, Inc.",0001483731,2834,Pharmaceutical Preparations,,,MN,ST. PAUL,2010-02-17,2009-09-02,True
"ENTEST GROUP, INC.",0001449447,2834,Pharmaceutical Preparations,,,F4,SHENZHEN,2008-11-04,2008-09-24,True
"Enumeral Biomedical Holdings, Inc.",0001561551,2834,Pharmaceutical Preparations,,,MA,ARLINGTON,2013-01-04,2012-02-01,True
EnzymeBioSystems,0001471968,2834,Pharmaceutical Preparations,,,NV,LAS VEGAS,2009-09-28,2009-06-26,True
EnzymeBioSystems/Old,0001468135,2834,Pharmaceutical Preparations,,,OH,CHAGRIN FALLS,2009-07-17,2009-06-26,True
"EPIRUS Biopharmaceuticals, Inc.",0001135906,2834,Pharmaceutical Preparations,,,MA,BOSTON,2004-12-10,2001-01-01,True
"Equillium, Inc.",0001746466,2834,Pharmaceutical Preparations,EQ,Nasdaq,CA,LA JOLLA,2018-09-17,2017-03-01,True
"Esperion Therapeutics, Inc.",0001434868,2834,Pharmaceutical Preparations,ESPR,Nasdaq,MI,ANN ARBOR,2013-05-14,2008-01-01,True
"Eton Pharmaceuticals, Inc.",0001710340,2834,Pharmaceutical Preparations,ETON,Nasdaq,IL,DEER PARK,2018-08-10,2017-04-01,True
