name,cik,ticker,founding_date,s1_filing_date,state,city,sic_code,status,current_price,market_cap,exchange,exit_type,exit_date,exit_details,price_days_trading,price_first_date,price_first_price,price_last_date,price_last_price,price_max_date,price_max_price,price_max_return_pct,price_min_price,price_total_return_pct
"Aclaris Therapeutics, Inc.",0001557746,ACRS,2012-01-01,2015-08-17,PA,WAYNE,2834,trading,3.47,375957984,NMS,,,,3774,2015-10-06,11.0,2026-02-04,3.47,2017-04-17,32.99,199.9,0.64,-68.5
"Acrivon Therapeutics, Inc.",0001781174,ACRV,2018-03-01,2022-10-17,MA,WATERTOWN,2834,trading,1.69,53328164,NGM,,,,1177,2022-11-15,16.64,2026-02-04,1.69,2023-02-14,23.2,39.4,1.05,-89.8
"ACTAVIA LIFE SCIENCES, INC.",0001582249,,2012-12-06,2013-09-11,NY,NEW YORK,2834,no_ticker,,,,,,,,,,,,,,,,
"Actinium Pharmaceuticals, Inc.",0001388320,ATNM,2000-06-13,2013-03-15,NY,NEW YORK,2834,trading,1.185,36967132,ASE,,,,4787,2012-12-27,45.0,2026-02-04,1.18,2014-04-23,394.5,776.7,1.06,-97.4
"ACTUATE THERAPEUTICS, INC.",0001652935,ACTU,2015-01-01,2024-05-24,TX,FORT WORTH,2834,trading,4.99,115984200,NGM,,,,540,2024-08-13,8.61,2026-02-04,4.99,2025-05-30,11.9,38.2,4.71,-42.0
Adamas Pharmaceuticals Inc,0001328143,,2000-11-01,2014-03-05,CA,EMERYVILLE,2834,no_ticker,,,,,,,,,,,,,,,,
"Adgero Biopharmaceuticals Holdings, Inc.",0001657598,,2004-01-01,2017-02-14,NJ,PRINCETON,2834,no_ticker,,,,,,,,,,,,,,,,
"Adhera Therapeutics, Inc.",0000737207,ATRX,2008-01-01,2011-03-25,NC,WAKE FOREST,2834,trading,0.0001,722,PNK,,,,11746,1993-12-07,32000.0,2026-02-03,0.0,1996-11-25,186000.0,481.2,0.0,-100.0
"ADIAL PHARMACEUTICALS, INC.",0001513525,ADIL,2010-11-23,2017-09-07,VA,CHARLOTTESVILLE,2834,trading,0.1591,4419680,NCM,,,,2749,2018-07-27,101.25,2026-02-04,0.16,2019-01-15,208.25,105.7,0.16,-99.8
"Adicet Bio, Inc.",0001720580,ACET,2016-07-01,2017-12-29,MA,BOSTON,2834,trading,7.75,74400000,NCM,,,,2931,2018-01-26,1890.56,2026-02-04,7.75,2018-02-23,2335.2,23.5,7.15,-99.6
"Aditxt, Inc.",0001726711,ADTX,2017-09-01,2020-01-15,VA,RICHMOND,2834,trading,0.7201,1278914,NCM,,,,2045,2020-06-30,11435599872.0,2026-02-04,0.72,2020-08-06,17176000512.0,50.2,0.72,-100.0
"Aegerion Pharmaceuticals, Inc.",0001338042,,2005-02-01,2007-03-21,MA,CAMBRIDGE,2834,no_ticker,,,,,,,,,,,,,,,,
"AEOLUS PHARMACEUTICALS, INC.",0001261734,,2001-01-05,2003-12-19,CA,MISSION VIEJO,2834,no_ticker,,,,,,,,,,,,,,,,
"AEON Biopharma, Inc.",0001622667,,2012-02-01,2021-09-17,CA,IRVINE,2834,no_ticker,,,,,,,,,,,,,,,,
Akari Therapeutics Plc,0001541157,AKTX,2003-01-01,2014-11-20,FL,TAMPA,2834,trading,0.236,8434577,NCM,,,,4412,2014-01-06,1600.0,2026-02-04,0.24,2014-01-15,2200.0,37.5,0.23,-100.0
"AKCEA THERAPEUTICS, INC.",0001662524,,2014-12-01,2017-03-27,MA,BOSTON,2834,no_ticker,,,,,,,,,,,,,,,,
"Akero Therapeutics, Inc.",0001744659,AKRO,2017-01-01,2019-05-24,CA,SOUTH SAN FRANCISCO,2834,delisted,,,,unknown,,,2364,2019-06-20,18.32,2025-12-09,54.65,2025-02-05,57.56,214.2,8.0,198.3
"Akouos, Inc.",0001722271,,2016-01-01,2020-06-05,MA,BOSTON,2834,no_ticker,,,,,,,,,,,,,,,,
Akston Biosciences Corp,0001776612,,2011-01-01,2025-10-08,MA,BEVERLY,2834,no_ticker,,,,,,,,,,,,,,,,
"ALBIREO PHARMA, INC.",0001322505,,2003-12-01,2014-08-14,MA,BOSTON,2834,no_ticker,,,,,,,,,,,,,,,,
ALDER BIOPHARMACEUTICALS INC,0001423824,,2002-05-01,2014-03-19,WA,BOTHELL,2834,no_ticker,,,,,,,,,,,,,,,,
"Aldeyra Therapeutics, Inc.",0001341235,ALDX,2004-01-01,2014-01-06,MA,LEXINGTON,2834,trading,5.18,311643136,NCM,,,,4296,2014-05-02,7.2,2026-02-04,5.18,2021-04-27,14.85,106.3,1.42,-28.1
ALGORX PHARMACEUTICALS INC,0001139029,,2001-03-01,2004-11-24,NJ,SECAUCUS,2834,no_ticker,,,,,,,,,,,,,,,,
ALIMERA SCIENCES INC,0001267602,,2003-06-01,2012-11-16,GA,ALPHARETTA,2834,no_ticker,,,,,,,,,,,,,,,,
Allakos Inc.,0001564824,,2012-03-01,2018-06-22,CA,SAN DIEGO,2834,no_ticker,,,,,,,,,,,,,,,,
"Alto Neuroscience, Inc.",0001999480,ANRO,2019-01-01,2024-01-12,CA,MOUNTAIN VIEW,2834,trading,14.63,454500512,NYQ,,,,733,2024-02-02,20.7,2026-02-04,14.63,2024-02-05,21.8,5.3,1.8,-29.3
Altovida Inc.,0001529293,,2011-07-15,2011-09-08,X0,LANARKSHIRE,2834,no_ticker,,,,,,,,,,,,,,,,
ALUMIS INC.,0001847367,ALMS,2010-01-01,2024-06-07,CA,SOUTH SAN FRANCISCO,2834,trading,26.355,3286228736,NMS,,,,586,2024-06-28,13.3,2026-02-04,26.35,2026-01-28,27.71,108.3,2.8,98.2
ALX ONCOLOGY HOLDINGS INC,0001810182,ALXO,2015-01-01,2020-06-26,CA,SOUTH SAN FRANCISCO,2834,trading,1.955,105996192,NMS,,,,2028,2020-07-17,30.0,2026-02-04,1.96,2020-12-10,112.26,274.2,0.41,-93.5
"Alzamend Neuro, Inc.",0001677077,ALZN,2016-02-01,2021-05-10,GA,ATLANTA,2834,trading,2.105,8002378,NCM,,,,1695,2021-06-15,18225.0,2026-02-04,2.11,2021-06-15,18225.0,0.0,1.82,-100.0
"ALZHEON, INC.",0001582636,,2013-01-01,2018-03-16,MA,FRAMINGHAM,2834,no_ticker,,,,,,,,,,,,,,,,
"Amarantus Bioscience Holdings, Inc.",0001424812,,2008-01-01,2013-10-03,CA,SAN FRANCISCO,2834,no_ticker,,,,,,,,,,,,,,,,
AMBIT BIOSCIENCES CORP,0001131543,,2004-12-01,2010-11-05,CA,SAN DIEGO,2834,no_ticker,,,,,,,,,,,,,,,,
AMBRX INC,0001264647,,2003-01-01,2014-05-02,CA,LA JOLLA,2834,no_ticker,,,,,,,,,,,,,,,,
America Great Health,0001098009,,2010-07-06,2011-09-09,CA,ALHAMBRA,2834,no_ticker,,,,,,,,,,,,,,,,
"Amneal Pharmaceuticals, Inc.",0001723128,AMRX,2002-01-01,2018-03-07,,,2834,trading,14.5498,4573917696,NMS,,,,2830,2018-05-07,15.01,2026-02-04,14.55,2018-08-20,24.27,61.7,1.27,-3.1
"Ampio Pharmaceuticals, Inc.",0001411906,,2008-12-01,2010-11-12,CO,ENGLEWOOD,2834,no_ticker,,,,,,,,,,,,,,,,
"Amylyx Pharmaceuticals, Inc.",0001658551,AMLX,2014-01-01,2021-12-16,MA,CAMBRIDGE,2834,trading,13.83,1518804608,NMS,,,,1489,2022-01-07,18.07,2026-02-04,13.83,2023-01-27,40.93,126.5,1.62,-23.5
"AN2 Therapeutics, Inc.",0001880438,ANTX,2017-02-01,2022-03-04,CA,MENLO PARK,2834,trading,1.08,29594188,NMS,,,,1412,2022-03-25,15.4,2026-02-04,1.08,2022-08-15,22.29,44.7,0.98,-93.0
"ANAPTYSBIO, INC",0001370053,ANAB,2005-11-01,2015-09-09,CA,SAN DIEGO,2834,trading,49.39,1381586304,NMS,,,,3296,2017-01-26,17.0,2026-02-04,49.39,2018-03-02,128.55,656.2,10.18,190.5
"Anebulo Pharmaceuticals, Inc.",0001815974,ANEB,2020-04-01,2021-04-01,TX,LAKEWAY,2834,trading,0.9244,37701404,NCM,,,,1734,2021-05-07,7.1,2026-02-04,0.92,2021-05-21,8.95,26.1,0.86,-87.0
"Annexon, Inc.",0001528115,ANNX,2011-03-01,2020-07-02,CA,BRISBANE,2834,trading,6.105,909986112,NMS,,,,2021,2020-07-24,17.76,2026-02-04,6.11,2021-03-16,35.01,97.1,1.38,-65.6
"Annovis Bio, Inc.",0001477845,ANVS,2008-01-01,2019-07-03,PA,MALVERN,2834,trading,2.5,66257220,NYQ,,,,2198,2020-01-29,9.59,2026-02-04,2.5,2021-07-13,120.97,1161.4,1.22,-73.9
ANTERIOS INC,0001390085,,2006-01-01,2015-03-31,NY,NEW YORK,2834,no_ticker,,,,,,,,,,,,,,,,
Anthera Pharmaceuticals Inc,0001316175,,2004-09-01,2009-09-15,CA,HAYWARD,2834,no_ticker,,,,,,,,,,,,,,,,
Applied Molecular Transport Inc.,0001801777,,2016-11-21,2020-05-18,DE,WILMINGTON,2834,no_ticker,,,,,,,,,,,,,,,,
"Aprea Therapeutics, Inc.",0001781983,APRE,2019-05-01,2019-09-06,PA,DOYLESTOWN,2834,trading,0.6708,4691466,NCM,,,,2316,2019-10-03,410.0,2026-02-04,0.67,2019-12-27,990.6,141.6,0.47,-99.8
Aptevo Therapeutics Inc.,0001671584,APVO,2016-02-01,2023-06-30,WA,SEATTLE,2834,trading,6.5627,10248227,NCM,,,,3486,2016-07-20,65640960.0,2026-02-04,6.56,2016-07-20,65640960.0,0.0,6.56,-100.0
Aptinyx Inc.,0001674365,,2015-06-01,2018-05-23,IL,EVANSTON,2834,no_ticker,,,,,,,,,,,,,,,,
"ARATANA THERAPEUTICS, INC.",0001509190,,2010-12-01,2013-03-20,KS,LEAWOOD,2834,no_ticker,,,,,,,,,,,,,,,,
"Aravive, Inc.",0001513818,,2008-12-01,2014-02-18,TX,HOUSTON,2834,no_ticker,,,,,,,,,,,,,,,,
"Arcus Biosciences, Inc.",0001724521,RCUS,2017-11-01,2018-02-16,CA,HAYWARD,2834,trading,21.245,2628612864,NYQ,,,,2883,2018-03-15,17.0,2026-02-04,21.25,2021-11-23,48.47,185.1,6.44,25.0
"ARMO BioSciences, Inc.",0001693664,,2014-07-01,2017-12-29,CA,REDWOOD CITY,2834,no_ticker,,,,,,,,,,,,,,,,
"Arno Therapeutics, Inc",0001195116,,2000-03-01,2008-07-31,NJ,FLEMINGTON,2834,no_ticker,,,,,,,,,,,,,,,,
"Arog Pharmaceuticals, Inc.",0001753850,,2015-01-01,2018-09-28,TX,DALLAS,2834,no_ticker,,,,,,,,,,,,,,,,
"ArriVent BioPharma, Inc.",0001868279,AVBP,2018-01-01,2024-01-05,PA,NEWTOWN SQUARE,2834,trading,21.595,891470912,NGM,,,,740,2024-01-26,20.0,2026-02-04,21.59,2024-11-07,35.63,78.2,15.3,8.0
"ARS Pharmaceuticals, Inc.",0001671858,SPRY,2016-01-01,2020-11-10,CA,SAN DIEGO,2834,trading,10.1399,1002315008,NGM,,,,1888,2020-12-04,25.0,2026-02-04,10.14,2021-03-17,60.41,141.6,2.9,-59.4
"ARTELO BIOSCIENCES, INC.",0001621221,ARTL,2011-05-02,2014-10-08,CA,SOLANA BEACH,2834,trading,1.56,3149243,NCM,,,,2420,2019-06-21,418.5,2026-02-04,1.56,2019-06-24,443.7,6.0,1.16,-99.6
"ARVINAS, INC.",0001655759,ARVN,2013-01-01,2018-08-30,CT,NEW HAVEN,2834,trading,13.42,985264064,NMS,,,,2687,2018-09-27,16.05,2026-02-04,13.42,2021-07-29,107.87,572.1,6.07,-16.4
"ASSEMBLY BIOSCIENCES, INC.",0001426800,ASMB,2005-10-01,2010-07-20,CA,SOUTH SAN FRANCISCO,2834,trading,27.0,427062784,NMS,,,,5528,2010-12-17,378.0,2026-02-04,27.0,2011-05-09,1215.0,221.4,7.8,-92.9
Atai Beckley N.V.,0001840904,ATAI,2020-06-01,2021-04-20,,AMSTELVEEN,2834,trading,3.62,1314836736,NGM,,,,1692,2021-06-18,19.45,2026-02-04,3.62,2021-06-21,19.89,2.3,1.04,-81.4
"Atea Pharmaceuticals, Inc.",0001593899,AVIR,2016-01-01,2020-10-09,MA,BOSTON,2834,trading,3.975,310554016,NMS,,,,1923,2020-10-30,30.34,2026-02-04,3.97,2021-02-08,88.44,191.5,2.55,-86.9
"Athenex, Inc.",0001300699,,2003-11-01,2017-05-12,NY,BUFFALO,2834,no_ticker,,,,,,,,,,,,,,,,
"ATHERSYS, INC / NEW",0001368148,,2005-06-01,2007-07-10,OH,CLEVELAND,2834,no_ticker,,,,,,,,,,,,,,,,
"ATOSSA THERAPEUTICS, INC.",0001488039,ATOS,2009-04-30,2010-03-30,WA,SEATTLE,2834,trading,5.06,43573824,NCM,,,,4836,2012-11-08,12960.0,2026-02-04,5.06,2013-03-19,33399.0,157.7,5.06,-100.0
"Atreca, Inc.",0001532346,,2010-01-01,2019-05-24,CA,SAN CARLOS,2834,no_ticker,,,,,,,,,,,,,,,,
"AUDEO ONCOLOGY, INC.",0001552899,,2012-06-01,2012-07-06,CA,SAN FRANCISCO,2834,no_ticker,,,,,,,,,,,,,,,,
"AURIGA LABORATORIES, INC.",0001072313,,2005-04-01,2008-02-08,CA,LOS ANGELES,2834,no_ticker,,,,,,,,,,,,,,,,
"Auspex Pharmaceuticals, Inc.",0001454189,,2001-02-01,2013-12-20,CA,LA JOLLA,2834,no_ticker,,,,,,,,,,,,,,,,
"Avenir Wellness Solutions, Inc.",0001643301,,2014-05-15,2015-06-10,CA,SHERMAN OAKS,2834,no_ticker,,,,,,,,,,,,,,,,
"AVENUE THERAPEUTICS, INC.",0001644963,ATXI,2006-06-01,2017-04-28,FL,BAY HARBOR ISLANDS,2834,trading,0.1875,596917,PNK,,,,3143,2017-06-27,9281.25,2026-02-03,0.19,2020-09-14,13567.5,46.2,0.17,-100.0
"Avidity Biosciences, Inc.",0001599901,RNA,2012-01-01,2020-05-22,CA,SAN DIEGO,2834,trading,72.91,11263054848,NGM,,,,2063,2020-06-12,28.5,2026-02-04,72.91,2026-02-03,72.93,155.9,4.87,155.8
"AXIM BIOTECHNOLOGIES, INC.",0001514946,AXIM,2010-11-18,2021-05-14,CA,SAN DIEGO,2834,trading,0.014,4661393,PNK,,,,4173,2014-09-02,10.0,2026-02-04,0.01,2017-01-12,19.0,90.0,0.0,-99.9
"Axsome Therapeutics, Inc.",0001579428,AXSM,2012-01-01,2015-10-13,NY,NEW YORK,2834,trading,186.635,9408762880,NGM,,,,3730,2015-11-19,8.74,2026-02-04,186.63,2026-01-21,189.1,2063.6,2.0,2035.4
AXXESS PHARMA INC.,0001103309,,2013-10-01,2014-07-25,A6,MARKHAM,2834,no_ticker,,,,,,,,,,,,,,,,
"Azitra, Inc.",0001701478,AZTR,2014-01-01,2023-02-21,CT,BRANFORD,2834,trading,0.2338,2511175,ASE,,,,964,2023-06-16,988.0,2026-02-04,0.23,2023-06-16,988.0,0.0,0.23,-100.0
Barinthus Biotherapeutics plc.,0001828185,BRNS,2016-01-01,2021-04-09,MD,GERMANTOWN,2834,trading,0.7225,29499930,NGM,,,,1741,2021-04-30,14.1,2026-02-04,0.72,2021-05-17,17.0,20.6,0.65,-94.9
BARRIER THERAPEUTICS INC,0001173657,,2001-01-01,2004-02-06,NJ,PRINCETON,2834,no_ticker,,,,,,,,,,,,,,,,
"Baudax Bio, Inc.",0001780097,,2015-01-01,2022-08-03,PA,MALVERN,2834,no_ticker,,,,,,,,,,,,,,,,
Baxalta Inc,0001620546,,2015-06-23,2015-06-23,IL,BANNOCKBURN,2834,no_ticker,,,,,,,,,,,,,,,,
"Bayhill Therapeutics, Inc.",0001290157,,2000-12-01,2008-01-09,CA,PALO ALTO,2834,no_ticker,,,,,,,,,,,,,,,,
"BELLICUM PHARMACEUTICALS, INC",0001358403,,2004-07-01,2014-11-18,TX,HOUSTON,2834,no_ticker,,,,,,,,,,,,,,,,
"Benda Pharmaceutical, Inc.",0000705868,,2001-04-01,2008-08-01,F4,"HUBEI PROVINCE,",2834,no_ticker,,,,,,,,,,,,,,,,
Bicara Therapeutics Inc.,0002023658,BCAX,2018-12-01,2024-08-22,MA,BOSTON,2834,trading,16.47,902258688,NGM,,,,509,2024-09-13,23.41,2026-02-04,16.47,2024-09-17,27.07,15.6,8.71,-29.6
BICYCLE THERAPEUTICS PLC,0001761612,BCYC,2016-04-01,2019-04-26,X0,CAMBRIDGE,2834,trading,5.77,400252768,NMS,,,,2449,2019-05-23,12.0,2026-02-04,5.77,2021-11-15,61.14,409.5,5.77,-51.9
Bio Essence Corp,0001723059,BIOE,2010-04-20,2019-07-26,CA,IRVINE,2834,trading,0.055,2090495,PNK,,,,574,2024-07-09,0.45,2026-02-03,0.05,2024-10-16,3.71,724.4,0.05,-87.8
"BIO-PATH HOLDINGS, INC.",0001133818,BPTH,2007-05-10,2010-06-17,TX,BELLAIRE,2834,trading,0.06,554529,PNK,,,,6545,2008-03-04,3600.0,2026-02-03,0.06,2008-05-13,22960.0,537.8,0.05,-100.0
"BIOADAPTIVES, INC.",0001575142,BDPT,2011-04-01,2013-12-02,NV,LAS VEGAS,2834,trading,0.016,192138,PNK,,,,3533,2016-06-01,33.0,2026-02-02,0.02,2016-11-17,88.2,167.3,0.01,-99.9
"BioAge Labs, Inc.",0001709941,BIOA,2020-12-01,2024-09-03,CA,EMERYVILLE,2834,trading,19.605,818557184,NMS,,,,496,2024-09-26,18.31,2026-02-04,19.6,2024-10-21,25.83,41.1,3.04,7.1
BIOCANCELL THERAPEUTICS INC.,0001451980,,2004-07-26,2008-12-17,L3,JERUSALEM,2834,no_ticker,,,,,,,,,,,,,,,,
Biofrontera Inc.,0001858685,BFRI,2015-03-01,2021-07-06,MA,WOBURN,2834,trading,0.8408,9793910,NCM,,,,1559,2021-10-29,88.2,2026-02-04,0.84,2021-12-23,263.4,198.6,0.56,-99.0
Biohaven Ltd.,0001935979,BHVN,2022-05-02,2022-10-18,CT,NEW HAVEN,2834,trading,10.96,1454265856,NYQ,,,,1230,2022-09-23,7.14,2026-02-04,10.96,2024-03-13,59.75,737.3,6.16,53.6
Biohaven Pharmaceutical Holding Co Ltd.,0001689813,,2013-07-01,2017-04-07,CT,NEW HAVEN,2834,no_ticker,,,,,,,,,,,,,,,,
BIONOVO INC,0001203957,,2002-01-01,2009-09-10,CA,EMERYVILLE,2834,no_ticker,,,,,,,,,,,,,,,,
Bioquest Corp,0001568628,BQST,2011-05-17,2013-02-05,CA,NEWPORT BEACH,2834,trading,0.511,15276462,PNK,,,,4359,2014-02-27,500.0,2026-02-03,0.51,2019-11-14,10000.0,1900.0,0.02,-99.9
"BIORA THERAPEUTICS, INC.",0001580063,,2012-01-01,2020-05-27,CA,SAN DIEGO,2834,no_ticker,,,,,,,,,,,,,,,,
"Biostar Pharmaceuticals, Inc.",0001418133,,2007-03-27,2008-06-27,F4,"XIANYANG, SHAANXI PROVINCE",2834,no_ticker,,,,,,,,,,,,,,,,
Biostax Corp.,0001559356,,2013-01-01,2016-10-14,FL,WINTER PARK,2834,no_ticker,,,,,,,,,,,,,,,,
BIOVIE INC.,0001580149,BIVI,2013-04-10,2013-08-15,NV,CARSON CITY,2834,trading,1.2,9044975,NCM,,,,1965,2020-09-18,999.0,2026-02-04,1.2,2021-02-03,4481.0,348.5,1.13,-99.9
"BioXcel Therapeutics, Inc.",0001720893,BTAI,2017-03-01,2018-02-12,CT,NEW HAVEN,2834,trading,1.4969,32736442,NCM,,,,2890,2018-03-08,176.48,2026-02-04,1.5,2020-07-22,1034.08,485.9,1.18,-99.2
"BIOXYTRAN, INC",0001445815,BIXT,2008-06-09,2008-10-31,MA,NEEDHAM,2834,trading,0.0417,3710976,OQB,,,,5874,2010-01-05,125.0,2026-02-04,0.04,2010-06-03,700.01,460.0,0.0,-100.0
BODY & MIND INC.,0001715611,BMMJ,2014-03-03,2020-03-13,A1,VANCOUVER,2834,trading,0.0001,15904,PNK,,,,8701,2002-04-09,7500.01,2026-02-03,0.0,2004-06-18,300000.31,3900.0,0.0,-100.0
"Bohai Pharmaceuticals Group, Inc.",0001443242,,2008-01-09,2008-08-20,F4,"YANTAI, SHANDONG PROVINCE",2834,no_ticker,,,,,,,,,,,,,,,,
"Bolt Biotherapeutics, Inc.",0001641281,BOLT,2015-01-01,2021-01-15,CA,REDWOOD CITY,2834,trading,6.1,11708596,NCM,,,,1825,2021-02-05,643.0,2026-02-04,6.1,2021-03-17,798.6,24.2,4.51,-99.1
"Boundless Bio, Inc.",0001782303,BOLD,2018-01-01,2024-03-06,CA,SAN DIEGO,2834,trading,1.075,24064534,NMS,,,,678,2024-03-28,14.25,2026-02-04,1.08,2024-03-28,14.25,0.0,1.01,-92.5
"Braeburn Pharmaceuticals, Inc.",0001688765,,2012-09-01,2016-12-30,NJ,PRINCETON,2834,no_ticker,,,,,,,,,,,,,,,,
"BridgeBio Oncology Therapeutics, Inc.",0001869105,BBOT,2021-06-15,2024-01-18,CA,SOUTH SAN FRANCISCO,2834,trading,11.53,922269568,NGM,,,,726,2024-02-09,10.19,2026-02-04,11.53,2025-11-17,13.73,34.7,8.84,13.2
"BridgeBio Pharma, Inc.",0001743881,BBIO,2015-04-01,2019-05-24,CA,PALO ALTO,2834,trading,75.86,14536823808,NMS,,,,2414,2019-06-27,27.55,2026-02-04,75.86,2026-01-22,79.91,190.1,5.21,175.4
"BullFrog AI Holdings, Inc.",0001829247,BFRG,2020-02-06,2022-10-19,MD,GAITHERSBURG,2834,trading,0.5535,6310124,NCM,,,,1087,2023-02-13,6.5,2026-02-04,0.55,2023-04-20,8.74,34.5,0.55,-91.5
CADENCE PHARMACEUTICALS INC,0001333248,,2004-05-01,2006-07-17,CA,SAN DIEGO,2834,no_ticker,,,,,,,,,,,,,,,,
"CalciMedica, Inc.",0001534133,CALC,2011-05-01,2020-09-04,CA,LA JOLLA,2834,trading,0.625,9005894,NCM,,,,966,2023-06-14,5.84,2026-02-04,0.62,2024-01-31,7.44,27.4,0.61,-89.3
"Calithera Biosciences, Inc.",0001496671,CALA,2010-03-01,2014-08-25,CA,SOUTH SAN FRANCISCO,2834,trading,0.0002,974,PNK,,,,4142,2014-10-02,188.2,2026-02-03,0.0,2014-12-12,597.0,217.2,0.0,-100.0
Camp4 Therapeutics Corp,0001736730,CAMP,2015-01-01,2024-09-20,MA,CAMBRIDGE,2834,trading,3.52,182621600,NGM,,,,481,2024-10-11,10.72,2026-02-04,3.52,2024-11-12,11.74,9.5,1.35,-67.2
"Cancer Prevention Pharmaceuticals, Inc.",0001471002,,2009-12-01,2015-12-23,AZ,TUCSON,2834,no_ticker,,,,,,,,,,,,,,,,
Cantabio Pharmaceuticals Inc.,0001550518,,2012-02-06,2012-05-23,CA,PALO ALTO,2834,no_ticker,,,,,,,,,,,,,,,,
"CAPRICOR THERAPEUTICS, INC.",0001133869,CAPR,2007-02-09,2011-07-22,CA,SAN DIEGO,2834,trading,24.29,1321358720,NCM,,,,6931,2007-02-13,450.0,2026-02-04,24.29,2007-10-24,3250.0,622.2,0.94,-94.6
"CARDAX, INC.",0001544238,,2003-07-07,2012-05-29,HI,HONOLULU,2834,no_ticker,,,,,,,,,,,,,,,,
Carmot Therapeutics Inc.,0001490109,,2008-01-18,2023-11-17,CA,BERKELEY,2834,no_ticker,,,,,,,,,,,,,,,,
"Castle Creek Biosciences, Inc.",0001756702,,2015-08-01,2021-07-16,NJ,PARSIPPANY,2834,no_ticker,,,,,,,,,,,,,,,,
"Cavit Sciences, Inc.",0001368502,,2006-04-12,2008-06-11,NJ,PATERSON,2834,no_ticker,,,,,,,,,,,,,,,,
CDT Equity Inc.,0001896212,CDT,2021-10-01,2022-01-06,FL,NAPLES,2834,trading,1.1296,2602022,NCM,,,,1409,2022-03-28,119280.0,2026-02-04,1.13,2023-09-21,203880.0,70.9,1.09,-100.0
"Cell Source, Inc.",0001569340,CLCS,2012-06-06,2013-03-05,NY,NEW YORK,2834,trading,0.9,40534420,PNK,,,,4296,2014-05-01,0.88,2026-02-03,0.9,2021-01-05,2.4,174.3,0.0,2.9
Celularity Inc,0001752828,CELU,2018-08-01,2019-04-26,NJ,FLORHAM PARK,2834,trading,1.24,35758856,NCM,,,,2372,2019-08-08,98.0,2026-02-04,1.24,2022-04-28,129.1,31.7,1.08,-98.7
CEN BIOTECH INC,0001653821,,2016-05-13,2020-06-19,A6,WINDSOR,2834,no_ticker,,,,,,,,,,,,,,,,
Centessa Pharmaceuticals plc,0001847903,CNTA,2020-10-01,2021-04-21,X0,"ALTRINCHAM, CHESHIRE",2834,trading,24.69,3606610176,NMS,,,,1713,2021-05-28,21.75,2026-02-04,24.69,2025-12-05,29.91,37.5,3.03,13.5
Centrexion Therapeutics Corp,0001592052,,2000-01-01,2018-10-19,MA,BOSTON,2834,no_ticker,,,,,,,,,,,,,,,,
"Checkpoint Therapeutics, Inc.",0001651407,,2014-11-01,2017-03-21,MA,WALTHAM,2834,no_ticker,,,,,,,,,,,,,,,,
Chemomab Therapeutics Ltd.,0001534248,CMMB,2011-09-22,2023-01-13,,TEL AVIV,2834,trading,1.6302,10034072,NCM,,,,2549,2019-02-12,691.2,2026-02-04,1.63,2019-02-12,691.2,0.0,1.55,-99.8
"CHIASMA, INC",0001339469,,2001-01-01,2015-06-15,MA,NEEDHAM,2834,no_ticker,,,,,,,,,,,,,,,,
