name,cik,sic_code,sic_description,ticker,exchange,state,city,s1_filing_date,founding_date,founded_since_2000
"ACTAVIA LIFE SCIENCES, INC.",0001582249,2834,Pharmaceutical Preparations,,,NY,NEW YORK,2013-09-11,2012-12-06,True
"Actinium Pharmaceuticals, Inc.",0001388320,2834,Pharmaceutical Preparations,ATNM,NYSE,NY,NEW YORK,2013-03-15,2000-06-13,True
ACTIVBIOTICS INC,0001234620,2834,Pharmaceutical Preparations,,,MA,LEXINGTON,2006-08-14,1996-01-01,False
"ACTUATE THERAPEUTICS, INC.",0001652935,2834,Pharmaceutical Preparations,ACTU,Nasdaq,TX,FORT WORTH,2024-05-24,,
"ACURA PHARMACEUTICALS, INC",0000786947,2834,Pharmaceutical Preparations,,,IL,PALATINE,2017-02-03,,
"Acurx Pharmaceuticals, Inc.",0001736243,2834,Pharmaceutical Preparations,ACXP,Nasdaq,NY,STATEN ISLAND,2021-05-27,,
ACUSPHERE INC,0001115143,2834,Pharmaceutical Preparations,,,MA,LEXINGTON,2001-09-04,1993-07-01,False
Adamas Pharmaceuticals Inc,0001328143,2834,Pharmaceutical Preparations,,,CA,EMERYVILLE,2014-03-05,2000-11-01,True
"Adams Respiratory Therapeutics, Inc.",0001319439,2834,Pharmaceutical Preparations,,,NJ,CHESTER,2005-03-25,,
ADERIS PHARMACEUTICALS INC,0001164722,2834,Pharmaceutical Preparations,,,MA,HOPKINTON,2002-01-11,1994-01-01,False
"Adgero Biopharmaceuticals Holdings, Inc.",0001657598,2834,Pharmaceutical Preparations,,,NJ,PRINCETON,2017-02-14,2004-01-01,True
"Adhera Therapeutics, Inc.",0000737207,2834,Pharmaceutical Preparations,ATRX,OTC,NC,WAKE FOREST,2011-03-25,2008-01-01,True
"ADIAL PHARMACEUTICALS, INC.",0001513525,2834,Pharmaceutical Preparations,ADIL,Nasdaq,VA,CHARLOTTESVILLE,2017-09-07,2010-11-23,True
"Adicet Bio, Inc.",0001720580,2834,Pharmaceutical Preparations,ACET,Nasdaq,MA,BOSTON,2017-12-29,2016-07-01,True
"Aditxt, Inc.",0001726711,2834,Pharmaceutical Preparations,ADTX,Nasdaq,VA,RICHMOND,2020-01-15,2017-09-01,True
"ADNEXUS THERAPEUTICS, INC.",0001226847,2834,Pharmaceutical Preparations,,,MA,WALTHAM,2007-08-21,,
ADOLOR CORP,0001076167,2834,Pharmaceutical Preparations,,,PA,EXTON,2000-02-08,,
ADVANCED NUTRACEUTICALS INC,0001070270,2834,Pharmaceutical Preparations,,,NJ,SOUTH PLAINFIELD,1998-09-16,,
ADVANCED VIRAL RESEARCH CORP,0000786623,2834,Pharmaceutical Preparations,,,NY,YONKERS,1996-08-13,,
"Aegerion Pharmaceuticals, Inc.",0001338042,2834,Pharmaceutical Preparations,,,MA,CAMBRIDGE,2007-03-21,2005-02-01,True
"AEOLUS PHARMACEUTICALS, INC.",0001261734,2834,Pharmaceutical Preparations,,,CA,MISSION VIEJO,2003-12-19,2001-01-05,True
"AEON Biopharma, Inc.",0001622667,2834,Pharmaceutical Preparations,,,CA,IRVINE,2021-09-17,2012-02-01,True
"AEON Biopharma, Inc.",0001837607,2834,Pharmaceutical Preparations,AEON,NYSE,CA,IRVINE,2021-01-21,,
AFFYMAX INC,0001158223,2834,Pharmaceutical Preparations,,,CA,CUPERTINO,2006-07-28,1988-01-01,False
AGILE THERAPEUTICS INC,0001261249,2834,Pharmaceutical Preparations,,,NJ,PRINCETON,2014-03-17,,
"Aimmune Therapeutics, Inc.",0001631650,2834,Pharmaceutical Preparations,,,CA,BRISBANE,2015-07-06,,
"Ainos, Inc.",0001014763,2834,Pharmaceutical Preparations,AIMD,Nasdaq,TX,HOUSTON,2008-04-24,1984-06-01,False
Akari Therapeutics Plc,0001541157,2834,Pharmaceutical Preparations,AKTX,Nasdaq,FL,TAMPA,2014-11-20,2003-01-01,True
"AKCEA THERAPEUTICS, INC.",0001662524,2834,Pharmaceutical Preparations,,,MA,BOSTON,2017-03-27,2014-12-01,True
"Akebia Therapeutics, Inc.",0001517022,2834,Pharmaceutical Preparations,AKBA,Nasdaq,MA,CAMBRIDGE,2014-02-14,,
"Akero Therapeutics, Inc.",0001744659,2834,Pharmaceutical Preparations,AKRO,Nasdaq,CA,SOUTH SAN FRANCISCO,2019-05-24,2017-01-01,True
"Akouos, Inc.",0001722271,2834,Pharmaceutical Preparations,,,MA,BOSTON,2020-06-05,,
Akston Biosciences Corp,0001776612,2834,Pharmaceutical Preparations,,,MA,BEVERLY,2025-10-08,2011-01-01,True
"Aktis Oncology, Inc.",0002035832,2834,Pharmaceutical Preparations,AKTS,Nasdaq,MA,BOSTON,2025-12-19,,
"Alaunos Therapeutics, Inc.",0001107421,2834,Pharmaceutical Preparations,TCRT,Nasdaq,FL,FORT LAUDERDALE,2025-10-22,1998-09-01,False
"ALBIREO PHARMA, INC.",0001322505,2834,Pharmaceutical Preparations,,,MA,BOSTON,2014-08-14,2003-12-01,True
ALDER BIOPHARMACEUTICALS INC,0001423824,2834,Pharmaceutical Preparations,,,WA,BOTHELL,2014-03-19,2002-05-01,True
"Aldeyra Therapeutics, Inc.",0001341235,2834,Pharmaceutical Preparations,ALDX,Nasdaq,MA,LEXINGTON,2014-01-06,2004-01-01,True
Alexza Pharmaceuticals Inc.,0001344413,2834,Pharmaceutical Preparations,,,CA,MOUNTAIN VIEW,2005-12-22,,
ALGORX PHARMACEUTICALS INC,0001139029,2834,Pharmaceutical Preparations,,,NJ,SECAUCUS,2004-11-24,2001-03-01,True
ALGOS PHARMACEUTICAL CORP,0000924862,2834,Pharmaceutical Preparations,,,NJ,NEPTUNE,1996-05-22,,
ALIMERA SCIENCES INC,0001267602,2834,Pharmaceutical Preparations,,,GA,ALPHARETTA,2012-11-16,2003-06-01,True
ALKERMES INC,0000874663,2834,Pharmaceutical Preparations,,,MA,WALTHAM,2002-11-26,1999-08-31,False
Allakos Inc.,0001564824,2834,Pharmaceutical Preparations,,,CA,SAN DIEGO,2018-06-22,2012-03-01,True
"Allarity Therapeutics, Inc.",0001860657,2834,Pharmaceutical Preparations,ALLR,Nasdaq,MA,BOSTON,2021-09-13,,
ALLERGAN SPECIALTY THERAPEUTICS INC,0001049711,2834,Pharmaceutical Preparations,,,CA,IRVINE,1997-11-19,,
ALLOS THERAPEUTICS INC,0001097264,2834,Pharmaceutical Preparations,,,CO,WESTMINSTER,2000-01-26,,
"ALPINE IMMUNE SCIENCES, INC.",0001626199,2834,Pharmaceutical Preparations,,,WA,SEATTLE,2015-05-13,,
"Altimmune, Inc.",0001326190,2834,Pharmaceutical Preparations,ALT,Nasdaq,MD,GAITHERSBURG,2018-07-30,,
"Alto Neuroscience, Inc.",0001999480,2834,Pharmaceutical Preparations,ANRO,NYSE,CA,MOUNTAIN VIEW,2024-01-12,2019-01-01,True
Altovida Inc.,0001529293,2834,Pharmaceutical Preparations,,,X0,LANARKSHIRE,2011-09-08,2011-07-15,True
Altrazeal Life Sciences Inc.,0001168220,2834,Pharmaceutical Preparations,,,TX,ADDISON,2012-02-14,1987-09-17,False
ALUMIS INC.,0001847367,2834,Pharmaceutical Preparations,ALMS,Nasdaq,CA,SOUTH SAN FRANCISCO,2024-06-07,2010-01-01,True
ALX ONCOLOGY HOLDINGS INC,0001810182,2834,Pharmaceutical Preparations,ALXO,Nasdaq,CA,SOUTH SAN FRANCISCO,2020-06-26,,
"Alzamend Neuro, Inc.",0001677077,2834,Pharmaceutical Preparations,ALZN,Nasdaq,GA,ATLANTA,2021-05-10,2016-02-01,True
"ALZHEON, INC.",0001582636,2834,Pharmaceutical Preparations,,,MA,FRAMINGHAM,2018-03-16,,
"Amarantus Bioscience Holdings, Inc.",0001424812,2834,Pharmaceutical Preparations,,,CA,SAN FRANCISCO,2013-10-03,2008-01-01,True
AMBIT BIOSCIENCES CORP,0001131543,2834,Pharmaceutical Preparations,,,CA,SAN DIEGO,2010-11-05,2004-12-01,True
AMBRX INC,0001264647,2834,Pharmaceutical Preparations,,,CA,LA JOLLA,2014-05-02,2003-01-01,True
America Great Health,0001098009,2834,Pharmaceutical Preparations,,,CA,ALHAMBRA,2011-09-09,2010-07-06,True
AMERICAN BIO MEDICA CORP,0000896747,2834,Pharmaceutical Preparations,,,NY,KINDERHOOK,2014-04-07,,
"Amneal Pharmaceuticals, Inc.",0001723128,2834,Pharmaceutical Preparations,AMRX,Nasdaq,,,2018-03-07,2002-01-01,True
"Amphastar Pharmaceuticals, Inc.",0001297184,2834,Pharmaceutical Preparations,AMPH,Nasdaq,CA,RANCHO CUCAMONGA,2005-02-11,1955-01-01,False
"Ampio Pharmaceuticals, Inc.",0001411906,2834,Pharmaceutical Preparations,,,CO,ENGLEWOOD,2010-11-12,2008-12-01,True
"Amylyx Pharmaceuticals, Inc.",0001658551,2834,Pharmaceutical Preparations,AMLX,Nasdaq,MA,CAMBRIDGE,2021-12-16,2014-01-01,True
"AN2 Therapeutics, Inc.",0001880438,2834,Pharmaceutical Preparations,ANTX,Nasdaq,CA,MENLO PARK,2022-03-04,2017-02-01,True
"Anacor Pharmaceuticals, Inc.",0001411158,2834,Pharmaceutical Preparations,,,CA,PALO ALTO,2007-08-31,1999-01-01,False
ANADYS PHARMACEUTICALS INC,0001128495,2834,Pharmaceutical Preparations,,,CA,SAN DIEGO,2003-11-14,1992-09-01,False
"ANAPTYSBIO, INC",0001370053,2834,Pharmaceutical Preparations,ANAB,Nasdaq,CA,SAN DIEGO,2015-09-09,2005-11-01,True
ANDRX CORP,0000911755,2834,Pharmaceutical Preparations,,,FL,FORT LAUDERDALE,1996-12-06,,
"Anebulo Pharmaceuticals, Inc.",0001815974,2834,Pharmaceutical Preparations,ANEB,Nasdaq,TX,LAKEWAY,2021-04-01,2020-04-01,True
"ANESIVA, INC.",0001131517,2834,Pharmaceutical Preparations,,,CA,SOUTH SAN FRANCISCO,2003-12-04,,
ANESTA CORP /DE/,0000915916,2834,Pharmaceutical Preparations,,,UT,SALT LAKE CITY,1996-05-31,,
Anixa Biosciences Inc,0000715446,2834,Pharmaceutical Preparations,ANIX,Nasdaq,CA,SAN JOSE,2013-04-24,1982-11-05,False
"Annexon, Inc.",0001528115,2834,Pharmaceutical Preparations,ANNX,Nasdaq,CA,BRISBANE,2020-07-02,2011-03-01,True
"Annovis Bio, Inc.",0001477845,2834,Pharmaceutical Preparations,ANVS,NYSE,PA,MALVERN,2019-07-03,,
ANTERIOS INC,0001390085,2834,Pharmaceutical Preparations,,,NY,NEW YORK,2015-03-31,,
Anthera Pharmaceuticals Inc,0001316175,2834,Pharmaceutical Preparations,,,CA,HAYWARD,2009-09-15,2004-09-01,True
"Apexigen, Inc.",0001814140,2834,Pharmaceutical Preparations,,,CA,SAN CARLOS,2020-08-14,,
"Apimeds Pharmaceuticals US, Inc.",0001894525,2834,Pharmaceutical Preparations,APUS,NYSE,NJ,MATAWAN,2024-09-25,1989-01-01,False
"APP Pharmaceuticals, Inc.",0001141399,2834,Pharmaceutical Preparations,,,IL,SCHAUMBURG,2001-10-03,1996-03-01,False
Applied Molecular Transport Inc.,0001801777,2834,Pharmaceutical Preparations,,,DE,WILMINGTON,2020-05-18,2016-11-21,True
"Applied Therapeutics, Inc.",0001697532,2834,Pharmaceutical Preparations,APLT,Nasdaq,NY,NEW YORK,2019-04-12,,
"Aprea Therapeutics, Inc.",0001781983,2834,Pharmaceutical Preparations,APRE,Nasdaq,PA,DOYLESTOWN,2019-09-06,2019-05-01,True
Aptalis Holdings Inc.,0001588172,2834,Pharmaceutical Preparations,,,NJ,BRIDGEWATER,2013-12-26,1992-01-01,False
Aptevo Therapeutics Inc.,0001671584,2834,Pharmaceutical Preparations,APVO,Nasdaq,WA,SEATTLE,2023-06-30,2016-02-01,True
Aptinyx Inc.,0001674365,2834,Pharmaceutical Preparations,,,IL,EVANSTON,2018-05-23,2015-06-01,True
"Aquestive Therapeutics, Inc.",0001398733,2834,Pharmaceutical Preparations,AQST,Nasdaq,NJ,WARREN,2007-05-14,,
Aralez Pharmaceuticals Plc,0001648419,2834,Pharmaceutical Preparations,,,L2,DUBLIN,2015-08-07,,
"ARATANA THERAPEUTICS, INC.",0001509190,2834,Pharmaceutical Preparations,,,KS,LEAWOOD,2013-03-20,2010-12-01,True
"Aravive, Inc.",0001513818,2834,Pharmaceutical Preparations,,,TX,HOUSTON,2014-02-18,2008-12-01,True
Archemix Corp.,0001143527,2834,Pharmaceutical Preparations,,,MA,CAMBRIDGE,2007-07-25,,
"Arcus Biosciences, Inc.",0001724521,2834,Pharmaceutical Preparations,RCUS,NYSE,CA,HAYWARD,2018-02-16,2017-11-01,True
"Arcutis Biotherapeutics, Inc.",0001787306,2834,Pharmaceutical Preparations,ARQT,Nasdaq,CA,WESTLAKE VILLAGE,2020-01-06,,
"Ardea Biosciences, Inc./DE",0001103390,2834,Pharmaceutical Preparations,,,CA,SAN DIEGO,2000-01-27,,
ARGOS THERAPEUTICS INC,0001105533,2834,Pharmaceutical Preparations,,,NC,DURHAM,2011-07-29,1998-01-01,False
"Aridis Pharmaceuticals, Inc.",0001614067,2834,Pharmaceutical Preparations,,,CA,LOS GATOS,2018-07-18,,
"ARMO BioSciences, Inc.",0001693664,2834,Pharmaceutical Preparations,,,CA,REDWOOD CITY,2017-12-29,2014-07-01,True
"Arno Therapeutics, Inc",0001195116,2834,Pharmaceutical Preparations,,,NJ,FLEMINGTON,2008-07-31,2000-03-01,True
"Arog Pharmaceuticals, Inc.",0001753850,2834,Pharmaceutical Preparations,,,TX,DALLAS,2018-09-28,2015-01-01,True
ARONEX PHARMACEUTICALS INC,0000854691,2834,Pharmaceutical Preparations,,,TX,THE WOODLANDS,1998-11-20,,
"ArriVent BioPharma, Inc.",0001868279,2834,Pharmaceutical Preparations,AVBP,Nasdaq,PA,NEWTOWN SQUARE,2024-01-05,2018-01-01,True
"ARROWHEAD PHARMACEUTICALS, INC.",0000879407,2834,Pharmaceutical Preparations,ARWR,Nasdaq,CA,PASADENA,2009-12-28,,
"ARS Pharmaceuticals, Inc.",0001671858,2834,Pharmaceutical Preparations,SPRY,Nasdaq,CA,SAN DIEGO,2020-11-10,2016-01-01,True
"ARTELO BIOSCIENCES, INC.",0001621221,2834,Pharmaceutical Preparations,ARTL,Nasdaq,CA,SOLANA BEACH,2014-10-08,2011-05-02,True
"ARVINAS, INC.",0001655759,2834,Pharmaceutical Preparations,ARVN,Nasdaq,CT,NEW HAVEN,2018-08-30,2013-01-01,True
"ARYx Therapeutics, Inc.",0001410064,2834,Pharmaceutical Preparations,,,CA,FREMONT,2007-08-30,,
ASCENT PEDIATRICS INC,0001019731,2834,Pharmaceutical Preparations,,,MA,WILMINGTON,1997-03-14,,
"Aspargo Labs, Inc.",0001805092,2834,Pharmaceutical Preparations,,,NJ,ENGLEWOOD CLIFFS,2025-01-10,1906-01-01,False
"Aspire Biopharma Holdings, Inc.",0001847345,2834,Pharmaceutical Preparations,ASBP,Nasdaq,FL,ESTERO,2021-12-30,,
"ASSEMBLY BIOSCIENCES, INC.",0001426800,2834,Pharmaceutical Preparations,ASMB,Nasdaq,CA,SOUTH SAN FRANCISCO,2010-07-20,2005-10-01,True
"Astria Therapeutics, Inc.",0001454789,2834,Pharmaceutical Preparations,ATXS,Nasdaq,MA,BOSTON,2015-05-13,,
Atai Beckley N.V.,0001840904,2834,Pharmaceutical Preparations,ATAI,Nasdaq,,AMSTELVEEN,2021-04-20,2020-06-01,True
"Atea Pharmaceuticals, Inc.",0001593899,2834,Pharmaceutical Preparations,AVIR,Nasdaq,MA,BOSTON,2020-10-09,2016-01-01,True
"Athenex, Inc.",0001300699,2834,Pharmaceutical Preparations,,,NY,BUFFALO,2017-05-12,2003-11-01,True
ATHEROGENICS INC,0001107601,2834,Pharmaceutical Preparations,,,GA,ALPHARETTA,2000-02-25,,
AtheroNova Inc.,0001377053,2834,Pharmaceutical Preparations,,,CA,IRVINE,2010-06-29,1999-01-01,False
ATHERSYS INC /OH,0001051521,2834,Pharmaceutical Preparations,,,OH,CLEVELAND,2000-10-12,1995-10-01,False
"ATHERSYS, INC / NEW",0001368148,2834,Pharmaceutical Preparations,,,OH,CLEVELAND,2007-07-10,2005-06-01,True
"ATOSSA THERAPEUTICS, INC.",0001488039,2834,Pharmaceutical Preparations,ATOS,Nasdaq,WA,SEATTLE,2010-03-30,2009-04-30,True
"Atreca, Inc.",0001532346,2834,Pharmaceutical Preparations,,,CA,SAN CARLOS,2019-05-24,,
"AUDEO ONCOLOGY, INC.",0001552899,2834,Pharmaceutical Preparations,,,CA,SAN FRANCISCO,2012-07-06,2012-06-01,True
"AURIGA LABORATORIES, INC.",0001072313,2834,Pharmaceutical Preparations,,,CA,LOS ANGELES,2008-02-08,2005-04-01,True
"Auspex Pharmaceuticals, Inc.",0001454189,2834,Pharmaceutical Preparations,,,CA,LA JOLLA,2013-12-20,2001-02-01,True
"Avalo Therapeutics, Inc.",0001534120,2834,Pharmaceutical Preparations,AVTX,Nasdaq,PA,WAYNE,2016-09-16,,
AVALON PHARMACEUTICALS INC,0001162192,2834,Pharmaceutical Preparations,,,MD,GERMANTOWN,2005-05-03,1999-11-01,False
AVEDRO INC,0001343304,2834,Pharmaceutical Preparations,,,MA,WALTHAM,2019-01-18,1995-01-01,False
"Avenir Wellness Solutions, Inc.",0001643301,2834,Pharmaceutical Preparations,,,CA,SHERMAN OAKS,2015-06-10,2014-05-15,True
"AVENUE THERAPEUTICS, INC.",0001644963,2834,Pharmaceutical Preparations,ATXI,OTC,FL,BAY HARBOR ISLANDS,2017-04-28,2006-06-01,True
"AVEO PHARMACEUTICALS, INC.",0001325879,2834,Pharmaceutical Preparations,,,MA,BOSTON,2010-11-10,,
"Avidity Biosciences, Inc.",0001599901,2834,Pharmaceutical Preparations,RNA,Nasdaq,CA,SAN DIEGO,2020-05-22,,
"AXIM BIOTECHNOLOGIES, INC.",0001514946,2834,Pharmaceutical Preparations,AXIM,OTC,CA,SAN DIEGO,2021-05-14,,
"Axsome Therapeutics, Inc.",0001579428,2834,Pharmaceutical Preparations,AXSM,Nasdaq,NY,NEW YORK,2015-10-13,2012-01-01,True
AXXESS PHARMA INC.,0001103309,2834,Pharmaceutical Preparations,,,A6,MARKHAM,2014-07-25,2013-10-01,True
"Ayala Pharmaceuticals, Inc.",0001100397,2834,Pharmaceutical Preparations,,,NJ,MONMOUTH JUNCTION,2011-11-23,,
"AYTU BIOPHARMA, INC",0001385818,2834,Pharmaceutical Preparations,AYTU,Nasdaq,CO,DENVER,2015-07-01,,
"Azitra, Inc.",0001701478,2834,Pharmaceutical Preparations,AZTR,NYSE,CT,BRANFORD,2023-02-21,2014-01-01,True
Barinthus Biotherapeutics plc.,0001828185,2834,Pharmaceutical Preparations,BRNS,Nasdaq,MD,GERMANTOWN,2021-04-09,2016-01-01,True
BARRIER THERAPEUTICS INC,0001173657,2834,Pharmaceutical Preparations,,,NJ,PRINCETON,2004-02-06,2001-01-01,True
"Baudax Bio, Inc.",0001780097,2834,Pharmaceutical Preparations,,,PA,MALVERN,2022-08-03,,
Baxalta Inc,0001620546,2834,Pharmaceutical Preparations,,,IL,BANNOCKBURN,2015-06-23,2015-06-23,True
"Bayhill Therapeutics, Inc.",0001290157,2834,Pharmaceutical Preparations,,,CA,PALO ALTO,2008-01-09,2000-12-01,True
"Bellerophon Therapeutics, Inc.",0001600132,2834,Pharmaceutical Preparations,,,NJ,WARREN,2015-01-13,,
"BELLICUM PHARMACEUTICALS, INC",0001358403,2834,Pharmaceutical Preparations,,,TX,HOUSTON,2014-11-18,2004-07-01,True
"Benda Pharmaceutical, Inc.",0000705868,2834,Pharmaceutical Preparations,,,F4,"HUBEI PROVINCE,",2008-08-01,2001-04-01,True
Benitec Biopharma Inc.,0001808898,2834,Pharmaceutical Preparations,BNTC,Nasdaq,CA,HAYWARD,2020-08-14,1995-01-01,False
BENTLEY PHARMACEUTICALS INC,0000821616,2834,Pharmaceutical Preparations,,,NH,EXETER,1995-12-18,,
BetterLife Pharma Inc.,0001464165,2834,Pharmaceutical Preparations,BETRF,OTC,A1,VANCOUVER,2009-08-07,1998-01-01,False
Bicara Therapeutics Inc.,0002023658,2834,Pharmaceutical Preparations,BCAX,Nasdaq,MA,BOSTON,2024-08-22,2018-12-01,True
BICYCLE THERAPEUTICS PLC,0001761612,2834,Pharmaceutical Preparations,BCYC,Nasdaq,X0,CAMBRIDGE,2019-04-26,2016-04-01,True
BIGMAR INC,0001012466,2834,Pharmaceutical Preparations,,,OH,JOHNSTOWN,1996-06-17,,
Bio Essence Corp,0001723059,2834,Pharmaceutical Preparations,BIOE,OTC,CA,IRVINE,2019-07-26,,
"Bio Green Med Solution, Inc.",0001130166,2834,Pharmaceutical Preparations,BGMS,Nasdaq,NJ,BERKELEY HEIGHTS,2010-06-11,,
"BIO-PATH HOLDINGS, INC.",0001133818,2834,Pharmaceutical Preparations,BPTH,OTC,TX,BELLAIRE,2010-06-17,2007-05-10,True
"BIOADAPTIVES, INC.",0001575142,2834,Pharmaceutical Preparations,BDPT,OTC,NV,LAS VEGAS,2013-12-02,2011-04-01,True
"BioAge Labs, Inc.",0001709941,2834,Pharmaceutical Preparations,BIOA,Nasdaq,CA,EMERYVILLE,2024-09-03,2020-12-01,True
BIOCANCELL THERAPEUTICS INC.,0001451980,2834,Pharmaceutical Preparations,,,L3,JERUSALEM,2008-12-17,2004-07-26,True
Biofrontera Inc.,0001858685,2834,Pharmaceutical Preparations,BFRI,Nasdaq,MA,WOBURN,2021-07-06,2015-03-01,True
Biohaven Ltd.,0001935979,2834,Pharmaceutical Preparations,BHVN,NYSE,CT,NEW HAVEN,2022-10-18,2022-05-02,True
Biohaven Pharmaceutical Holding Co Ltd.,0001689813,2834,Pharmaceutical Preparations,,,CT,NEW HAVEN,2017-04-07,2013-07-01,True
"Biolex Therapeutics, Inc.",0001407698,2834,Pharmaceutical Preparations,,,NC,PITTSBORO,2007-08-13,1997-09-01,False
"Biomea Fusion, Inc.",0001840439,2834,Pharmaceutical Preparations,BMEA,Nasdaq,CA,SAN CARLOS,2021-03-26,,
BIONOVO INC,0001203957,2834,Pharmaceutical Preparations,,,CA,EMERYVILLE,2009-09-10,,
Bioquest Corp,0001568628,2834,Pharmaceutical Preparations,BQST,OTC,CA,NEWPORT BEACH,2013-02-05,2011-05-17,True
"BIORA THERAPEUTICS, INC.",0001580063,2834,Pharmaceutical Preparations,,,CA,SAN DIEGO,2020-05-27,2012-01-01,True
"Biostar Pharmaceuticals, Inc.",0001418133,2834,Pharmaceutical Preparations,,,F4,"XIANYANG, SHAANXI PROVINCE",2008-06-27,2007-03-27,True
Biostax Corp.,0001559356,2834,Pharmaceutical Preparations,,,FL,WINTER PARK,2016-10-14,2013-01-01,True
BIOTRANSPLANT INC,0000880259,2834,Pharmaceutical Preparations,,,MA,CHARLESTOWN,1996-05-07,,
BIOVEST INTERNATIONAL INC,0000704384,2834,Pharmaceutical Preparations,,,FL,TAMPA,2012-03-30,,
BIOVIE INC.,0001580149,2834,Pharmaceutical Preparations,BIVI,Nasdaq,NV,CARSON CITY,2013-08-15,2013-04-10,True
"BioXcel Therapeutics, Inc.",0001720893,2834,Pharmaceutical Preparations,BTAI,Nasdaq,CT,NEW HAVEN,2018-02-12,2017-03-01,True
"BIOXYTRAN, INC",0001445815,2834,Pharmaceutical Preparations,BIXT,OTC,MA,NEEDHAM,2008-10-31,2008-06-09,True
BODY & MIND INC.,0001715611,2834,Pharmaceutical Preparations,BMMJ,OTC,A1,VANCOUVER,2020-03-13,2014-03-03,True
"Bohai Pharmaceuticals Group, Inc.",0001443242,2834,Pharmaceutical Preparations,,,F4,"YANTAI, SHANDONG PROVINCE",2008-08-20,2008-01-09,True
"Bolt Biotherapeutics, Inc.",0001641281,2834,Pharmaceutical Preparations,BOLT,Nasdaq,CA,REDWOOD CITY,2021-01-15,2015-01-01,True
BONE CARE INTERNATIONAL INC,0001009405,2834,Pharmaceutical Preparations,,,WI,MIDDLETON,1998-01-08,,
"Boundless Bio, Inc.",0001782303,2834,Pharmaceutical Preparations,BOLD,Nasdaq,CA,SAN DIEGO,2024-03-06,2018-01-01,True
"Braeburn Pharmaceuticals, Inc.",0001688765,2834,Pharmaceutical Preparations,,,NJ,PRINCETON,2016-12-30,2012-09-01,True
BriaCell Therapeutics Corp.,0001610820,2834,Pharmaceutical Preparations,BCTX,Nasdaq,A1,WEST VANCOUVER,2025-04-22,,
"BridgeBio Oncology Therapeutics, Inc.",0001869105,2834,Pharmaceutical Preparations,BBOT,Nasdaq,CA,SOUTH SAN FRANCISCO,2024-01-18,,
"BridgeBio Pharma, Inc.",0001743881,2834,Pharmaceutical Preparations,BBIO,Nasdaq,CA,PALO ALTO,2019-05-24,2015-04-01,True
"BullFrog AI Holdings, Inc.",0001829247,2834,Pharmaceutical Preparations,BFRG,Nasdaq,MD,GAITHERSBURG,2022-10-19,,
